DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-04-01,2017,Q2,Apr,1,2017-04,-,DO,Gatwick,DO,Dominican Republic,GB,GB,07096099,Other,158,632,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,2017-04,1
2017-04-01,2017,Q2,Apr,1,2017-04,-,KE,Stansted,KE,Kenya,GB,GB,07081000,Peas (Pisum sativum),80,120,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-04,1
2017-04-01,2017,Q2,Apr,1,2017-04,-,EG,Heathrow,EG,Egypt,GB,GB,07096099,Other,100,396,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-04,1
2017-04-01,2017,Q2,Apr,1,2017-04,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,230,1250,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,No,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,2017-04,1
2017-04-01,2017,Q2,Apr,1,2017-04,-,KE,Stansted,KE,Kenya,GB,GB,07081000,Peas (Pisum sativum),25,220.4,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-04,1
2017-04-01,2017,Q2,Apr,1,2017-04,-,IN,Gatwick,IN,India,GB,GB,07099990,Other,800,2400,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-04,1
2017-04-01,2017,Q2,Apr,1,2017-04,-,CN,Heathrow,CN,China,GB,GB,07049090,Other,272,1550.4,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,No,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,2017-04,1
2017-04-01,2017,Q2,Apr,1,2017-04,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,350,1350,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-04,1
2017-04-01,2017,Q2,Apr,1,2017-04,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,346,1384,Human consumption,Satisfactory,yes,-,Satisfactory,Not Done,No,-,-,Human consumption,-,-,2017-04,1
2017-04-01,2017,Q2,Apr,1,2017-04,-,IN,Heathrow,IN,India,GB,GB,14049000,Other,100,500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-04,1
2017-04-02,2017,Q2,Apr,2,2017-04,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,748,2644,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-04,1
2017-04-02,2017,Q2,Apr,2,2017-04,-,EG,Heathrow,EG,Egypt,GB,GB,07096099,Other,120,420,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-04,1
2017-04-02,2017,Q2,Apr,2,2017-04,-,KE,Heathrow,KE,Kenya,IE,GB,07081000,Peas (Pisum sativum),180,405,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-04,1
2017-04-02,2017,Q2,Apr,2,2017-04,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,251,753,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,2017-04,1
2017-04-02,2017,Q2,Apr,2,2017-04,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,325,975,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-04,1
2017-04-02,2017,Q2,Apr,2,2017-04,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,310,1050,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,2017-04,1
2017-04-02,2017,Q2,Apr,2,2017-04,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,390,1400,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-04,1
2017-04-02,2017,Q2,Apr,2,2017-04,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,260,1150,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-04,1
2017-04-02,2017,Q2,Apr,2,2017-04,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,205,820,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-04,1
