DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2017-04-25,2017,Q2,Apr,25,2018-04,GH,"Tilbury, P",GB,Ghana,GB,GB,15119099,Other,84,81,Human consumption,Not satisfactory,-,Re-dispatching,/,/,no,-,-,-,-,-,1
2018-04-04,2018,Q2,Apr,4,2018-04,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,220,5500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-04-05,2018,Q2,Apr,5,2018-04,GH,"Tilbury, P",GB,Ghana,GB,GB,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified",145,3210,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-13,2018,Q2,Apr,13,2018-04,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1003,11073,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-13,2018,Q2,Apr,13,2018-04,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1221,13848,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-04-13,2018,Q2,Apr,13,2018-04,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1221,13848,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-04-13,2018,Q2,Apr,13,2018-04,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1221,13848,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-04-16,2018,Q2,Apr,16,2018-04,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-16,2018,Q2,Apr,16,2018-04,GH,London Gateway,GB,Ghana,GB,GB,15111090,Other than 1511 10 10,340,8350,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-16,2018,Q2,Apr,16,2018-04,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-04-16,2018,Q2,Apr,16,2018-04,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-04-16,2018,Q2,Apr,16,2018-04,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-04-17,2018,Q2,Apr,17,2018-04,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1334,14850,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-23,2018,Q2,Apr,23,2018-04,GH,"Tilbury, P",GB,Ghana,GB,GB,15119099,Other,475,5700,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-05,2018,Q2,Apr,5,2018-04,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",5,54,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-09,2018,Q2,Apr,9,2018-04,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",2520,15120,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,-,-,Human consumption,-,-,1
2018-04-11,2018,Q2,Apr,11,2018-04,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",2519,15114,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-13,2018,Q2,Apr,13,2018-04,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",6,65,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-24,2018,Q2,Apr,24,2018-04,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",5,54,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-27,2018,Q2,Apr,27,2018-04,JP,"Felixstowe, P",GB,Japan,GB,GB,22021000,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured",15,270,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-25,2018,Q2,Apr,25,2018-04,TR,London Gateway,GB,China,GB,GB,10064000,Broken rice,210,5000,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,no,-,-,-,Destruction,Absence/Invalid certificate (if applicable),1
2018-03-16,2018,Q1,Mar,16,2018-04,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,720,18000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-03-20,2018,Q1,Mar,20,2018-04,IN,"Felixstowe, P",GB,India,GB,GB,904220019,Other,2000,12000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-03-21,2018,Q1,Mar,21,2018-04,IN,"Felixstowe, P",GB,India,GB,GB,904220019,Other,720,18000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-03-21,2018,Q1,Mar,21,2018-04,CN,"Felixstowe, P",GB,China,GB,GB,9022000,Other green tea (not fermented),108,3024,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.RESIDUES OF PESTICIDES,Satisfactory,Human consumption,-,-,1
2018-03-22,2018,Q1,Mar,22,2018-04,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,4974,7461,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-03-22,2018,Q1,Mar,22,2018-04,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,900,5400,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-03-22,2018,Q1,Mar,22,2018-04,IN,"Southampton, P",GB,India,GB,GB,904220090,Other,300,6000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-03-22,2018,Q1,Mar,22,2018-04,IN,"Southampton, P",GB,India,GB,GB,904220090,Other,500,10000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
