Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Animal or vegetable fats and oils,2019-03-28,2019,Q1,3,28,2019-04-09,Turkey,2019-03-27,For import,15159099,"Solid, other; fluid",Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,12744
"Other/Beverages, spirits and vinegar",2019-04-02,2019,Q2,4,2,2019-04-03,Japan,2019-04-03,For import,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,65
"Other/Beverages, spirits and vinegar",2019-04-11,2019,Q2,4,11,2019-04-23,Japan,2019-04-16,For import,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,106
"Other/Beverages, spirits and vinegar",2019-04-18,2019,Q2,4,18,2019-04-18,Japan,2019-04-13,For import,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,11760
Other/Miscellaneous edible preparations,2019-03-14,2019,Q1,3,14,2019-04-09,Japan,2019-04-03,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,7100
Other/Miscellaneous edible preparations,2019-03-15,2019,Q1,3,15,2019-04-02,Japan,2019-03-21,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,12
Other/Miscellaneous edible preparations,2019-03-15,2019,Q1,3,15,2019-04-03,Japan,2019-03-21,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,408
Other/Miscellaneous edible preparations,2019-03-28,2019,Q1,3,28,2019-04-02,Japan,2019-03-31,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,20
Other/Miscellaneous edible preparations,2019-03-28,2019,Q1,3,28,2019-04-02,Japan,2019-03-31,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,1342
Other/Miscellaneous edible preparations,2019-03-28,2019,Q1,3,28,2019-04-08,Japan,2019-03-31,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,"Southampton, P",1,260
Other/Miscellaneous edible preparations,2019-03-28,2019,Q1,3,28,2019-04-08,Japan,2019-03-31,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-137,Satisfactory,Human consumption,-,-,"Southampton, P",1,260
Other/Miscellaneous edible preparations,2019-03-28,2019,Q1,3,28,2019-04-11,India,2019-03-31,For import,21039090,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,180
Other/Miscellaneous edible preparations,2019-03-28,2019,Q1,3,28,2019-04-11,India,2019-03-31,For import,21039090,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,36
Other/Miscellaneous edible preparations,2019-03-29,2019,Q1,3,29,2019-04-09,Japan,2019-04-08,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,130
Other/Miscellaneous edible preparations,2019-03-29,2019,Q1,3,29,2019-04-09,Japan,2019-04-08,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,180
Other/Miscellaneous edible preparations,2019-03-29,2019,Q1,3,29,2019-04-09,Japan,2019-04-08,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,60
Other/Miscellaneous edible preparations,2019-03-29,2019,Q1,3,29,2019-04-09,Japan,2019-04-08,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,600
Other/Miscellaneous edible preparations,2019-03-29,2019,Q1,3,29,2019-04-25,Japan,2019-04-08,For import,21039090,Other,Chilled,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,"Southampton, P",1,3828
Other/Miscellaneous edible preparations,2019-03-29,2019,Q1,3,29,2019-04-25,Japan,2019-04-08,For import,21039090,Other,Chilled,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-137,Satisfactory,Human consumption,-,-,"Southampton, P",1,3828
Other/Miscellaneous edible preparations,2019-04-02,2019,Q2,4,2,2019-04-03,Japan,2019-04-03,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,1700
Other/Miscellaneous edible preparations,2019-04-02,2019,Q2,4,2,2019-04-03,Japan,2019-04-03,For import,21041000,Soups and broths and preparations therefor,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,347
Other/Miscellaneous edible preparations,2019-04-03,2019,Q2,4,3,2019-04-14,Japan,2019-04-10,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,1440
Other/Miscellaneous edible preparations,2019-04-03,2019,Q2,4,3,2019-04-14,Japan,2019-04-10,For import,21069098,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,84
Other/Miscellaneous edible preparations,2019-04-05,2019,Q2,4,5,2019-04-08,Japan,2019-04-07,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,Heathrow,1,71
Other/Miscellaneous edible preparations,2019-04-09,2019,Q2,4,9,2019-04-11,Japan,2019-04-10,For import,210610,Protein concentrates and textured protein substances,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,Heathrow,1,9
Other/Miscellaneous edible preparations,2019-04-11,2019,Q2,4,11,2019-04-23,Japan,2019-04-16,For import,21039010,"Mango chutney, liquid",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,158
Other/Miscellaneous edible preparations,2019-04-11,2019,Q2,4,11,2019-04-23,Japan,2019-04-16,For import,21031000,Soya sauce,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,1212
Other/Miscellaneous edible preparations,2019-04-11,2019,Q2,4,11,2019-04-23,Japan,2019-04-16,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,71
Other/Miscellaneous edible preparations,2019-04-15,2019,Q2,4,15,2019-04-17,Japan,2019-04-19,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,14328
Other/Miscellaneous edible preparations,2019-04-17,2019,Q2,4,17,2019-04-30,Japan,2019-04-21,For import,21039010,"Mango chutney, liquid",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,220
Other/Miscellaneous edible preparations,2019-04-18,2019,Q2,4,18,2019-04-18,Japan,2019-04-13,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,5314
Other/Miscellaneous edible preparations,2019-04-18,2019,Q2,4,18,2019-04-18,Japan,2019-04-13,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,513
Other/Miscellaneous edible preparations,2019-04-18,2019,Q2,4,18,2019-04-24,Japan,2019-04-22,For import,21039090,Other,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,3844
Other/Miscellaneous edible preparations,2019-04-18,2019,Q2,4,18,2019-04-24,Japan,2019-04-22,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,300
Other/Miscellaneous edible preparations,2019-04-18,2019,Q2,4,18,2019-04-24,Japan,2019-04-22,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,56
Other/Miscellaneous edible preparations,2019-04-18,2019,Q2,4,18,2019-04-24,Japan,2019-04-22,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,108
Other/Miscellaneous edible preparations,2019-04-18,2019,Q2,4,18,2019-04-24,Japan,2019-04-22,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,600
Other/Miscellaneous edible preparations,2019-04-18,2019,Q2,4,18,2019-04-29,Japan,2019-05-01,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,8100
Other/Miscellaneous edible preparations,2019-04-28,2019,Q2,4,28,2019-04-29,Japan,2019-04-28,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,Heathrow,1,71
"Other/Preparations of cereals, flour, starch or milk",2019-02-19,2019,Q1,2,19,2019-04-02,China,2019-02-10,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,3240
"Other/Preparations of cereals, flour, starch or milk",2019-02-19,2019,Q1,2,19,2019-04-02,China,2019-02-10,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,5220
"Other/Preparations of cereals, flour, starch or milk",2019-02-19,2019,Q1,2,19,2019-04-02,China,2019-02-10,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,2160
"Other/Preparations of cereals, flour, starch or milk",2019-03-20,2019,Q1,3,20,2019-04-05,China,2019-03-27,For import,19023010,Dried,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,12750
"Other/Preparations of cereals, flour, starch or milk",2019-03-22,2019,Q1,3,22,2019-04-15,China,2019-03-24,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,4500
"Other/Preparations of cereals, flour, starch or milk",2019-03-22,2019,Q1,3,22,2019-04-15,China,2019-03-24,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,2700
"Other/Preparations of cereals, flour, starch or milk",2019-03-22,2019,Q1,3,22,2019-04-15,China,2019-03-24,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,3802
"Other/Preparations of cereals, flour, starch or milk",2019-03-22,2019,Q1,3,22,2019-04-15,China,2019-03-24,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,3780
"Other/Preparations of cereals, flour, starch or milk",2019-03-22,2019,Q1,3,22,2019-04-15,China,2019-03-24,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,1800
"Other/Preparations of cereals, flour, starch or milk",2019-03-22,2019,Q1,3,22,2019-04-15,China,2019-03-24,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,5400
"Other/Preparations of cereals, flour, starch or milk",2019-03-22,2019,Q1,3,22,2019-04-15,China,2019-03-24,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,3960
"Other/Preparations of cereals, flour, starch or milk",2019-03-22,2019,Q1,3,22,2019-04-15,China,2019-03-24,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,2520
"Other/Preparations of cereals, flour, starch or milk",2019-03-22,2019,Q1,3,22,2019-04-15,China,2019-03-24,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,3240
"Other/Preparations of cereals, flour, starch or milk",2019-03-22,2019,Q1,3,22,2019-04-15,China,2019-03-24,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,2520
