DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-08-01,2017,Q3,Aug,1,2017-08,,KE,Doncaster Sheffield Airport (CED),KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),9,428,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,TR,Felixstowe P,TR,Turkey,GB,GB,80620,Dried,500,3375,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),1103,2540,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,KE,Doncaster Sheffield Airport (CED),KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),219,738,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,IN,London Gateway,IN,India,GB,GB,9042190,Other,150,850,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,IN,London Gateway,IN,India,GB,GB,9042200,Crushed or ground,150,850,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,TR,Felixstowe P,TR,Turkey,GB,GB,8042090,Dried,1400,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,TR,Felixstowe P,TR,Turkey,GB,GB,8042090,Dried,1400,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,CN,Felixstowe P,CN,China,GB,GB,12024200,Shelled whether or not broken,20,18500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),600,3000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,TR,Felixstowe P,TR,Turkey,GB,GB,8131000,Apricots,600,7200,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,TR,Felixstowe P,TR,Turkey,GB,GB,8131000,Apricots,200,2400,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,TR,Felixstowe P,TR,Turkey,GB,GB,8131000,Apricots,200,2400,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,KE,Heathrow,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),1620,2601,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-08-01,2017,Q3,Aug,1,2017-08,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
