DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-07-19,2018,Q3,Jul,19,2018-08,GH,"Tilbury, P",GB,Ghana,GB,GB,1511901990,Other,110,2810,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-07-19,2018,Q3,Jul,19,2018-08,GH,"Tilbury, P",GB,Ghana,GB,GB,1511901990,Other,110,2810,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-07-19,2018,Q3,Jul,19,2018-08,GH,"Tilbury, P",GB,Ghana,GB,GB,1511901990,Other,110,2810,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-07-31,2018,Q3,Jul,31,2018-08,GH,"Southampton, P",GB,Ghana,GB,GB,1511901990,Other,571,13370,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-08-01,2018,Q3,Aug,1,2018-08,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1096,12099,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-08-15,2018,Q3,Aug,15,2018-08,GH,"Tilbury, P",GB,Ghana,GB,GB,15111090,Other than 1511 10 10,150,1800,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-08-17,2018,Q3,Aug,17,2018-08,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,971,11388,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Scarlet Red; or Sudan IV (CAS number 85-83-6),Satisfactory,Human consumption,-,-,1
2018-08-17,2018,Q3,Aug,17,2018-08,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,971,11388,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-08-17,2018,Q3,Aug,17,2018-08,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,971,11388,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-08-17,2018,Q3,Aug,17,2018-08,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,971,11388,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
