"Commoditygroups","DeclarationDate","YearofDeclaration","QuarterofDeclaration","MonthofDeclaration","DayofDeclaration","DecisionControlDateMonth","CountryofOrigin","ArrivalatDPE","Forimport","CommodityCode","Descriptionofcommodity","Producttemperature","Commodityintendedfor","Documentarycheck","AcceptableforTransfer","NotAcceptable","IdentityCheck","PhysicalCheck","LaboratoryTests","TestedFor","Results","Acceptableforreleaseforfreecirculation","NotAcceptable2","ReasonforRefusal","DPEName","NoOfConsignments","NetWeightKg"
"Other/Animal or vegetable fats and oils","2019-07-25","2019","Q3","7","25","2019-08-05","Ghana","2019-07-12","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan I (CAS number 842-07-9)","Satisfactory","Human consumption","-","-","Tilbury, P","1","8480"
"Other/Animal or vegetable fats and oils","2019-07-25","2019","Q3","7","25","2019-08-05","Ghana","2019-07-12","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan II (CAS number 3118-97-6)","Satisfactory","Human consumption","-","-","Tilbury, P","1","8480"
"Other/Animal or vegetable fats and oils","2019-07-25","2019","Q3","7","25","2019-08-05","Ghana","2019-07-12","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan III (CAS number 85-86-9)","Satisfactory","Human consumption","-","-","Tilbury, P","1","8480"
"Other/Animal or vegetable fats and oils","2019-07-29","2019","Q3","7","29","2019-08-05","Ghana","2019-07-29","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan I (CAS number 842-07-9)","Satisfactory","Human consumption","-","-","Tilbury, P","1","14043"
"Other/Animal or vegetable fats and oils","2019-07-29","2019","Q3","7","29","2019-08-05","Ghana","2019-07-29","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan II (CAS number 3118-97-6)","Satisfactory","Human consumption","-","-","Tilbury, P","1","14043"
"Other/Animal or vegetable fats and oils","2019-07-29","2019","Q3","7","29","2019-08-05","Ghana","2019-07-29","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan III (CAS number 85-86-9)","Satisfactory","Human consumption","-","-","Tilbury, P","1","14043"
"Other/Animal or vegetable fats and oils","2019-08-01","2019","Q3","8","1","2019-08-01","Ghana","2019-07-30","For import","1511","Palm oil and its fractions, whether or not refined, but not chemically modified","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Tilbury, P","1","8505"
"Other/Animal or vegetable fats and oils","2019-08-02","2019","Q3","8","2","2019-08-29","Ghana","2019-08-09","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes",".DYES","Satisfactory","Human consumption","-","-","London Gateway","1","10599"
"Other/Animal or vegetable fats and oils","2019-08-02","2019","Q3","8","2","2019-08-29","Ghana","2019-08-09","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan I (CAS number 842-07-9)","Satisfactory","Human consumption","-","-","London Gateway","1","10599"
"Other/Animal or vegetable fats and oils","2019-08-02","2019","Q3","8","2","2019-08-29","Ghana","2019-08-09","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan II (CAS number 3118-97-6)","Satisfactory","Human consumption","-","-","London Gateway","1","10599"
