CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
Animal or vegetable fats and oils,2020-08-07,2020,Q3,8,7,Ghana,2020-08-06,15111090,Other than 1511 10 10,Yes,Not satisfactory,Yes,Not satisfactory,No,-,No,-,30,4506,Yes,Destruction,Label/Document mismatch,2020-08-10,2020,Q3,8,10
Animal or vegetable fats and oils,2020-08-09,2020,Q3,8,9,Ghana,2020-08-10,15111090,Other than 1511 10 10,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,1400,1456,No,-,-,2020-08-13,2020,Q3,8,13
Animal or vegetable fats and oils,2020-08-09,2020,Q3,8,9,Ghana,2020-08-10,15111090,Other than 1511 10 10,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Pending,1400,1456,No,-,-,2020-08-13,2020,Q3,8,13
Animal or vegetable fats and oils,2020-08-19,2020,Q3,8,19,Ghana,2020-08-07,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,15112,18336,No,-,-,2020-09-04,2020,Q3,9,4
Animal or vegetable fats and oils,2020-08-12,2020,Q3,8,12,Ghana,2020-08-07,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,13072,15720,No,-,-,2020-08-28,2020,Q3,8,28
Animal or vegetable fats and oils,2020-08-19,2020,Q3,8,19,Ghana,2020-08-19,15111090,Other than 1511 10 10,Yes,Satisfactory,No,-,No,-,No,-,32,40,No,-,-,2020-08-19,2020,Q3,8,19
Animal or vegetable fats and oils,2020-08-24,2020,Q3,8,24,Ghana,2020-08-25,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,11339,12021,No,-,-,2020-08-25,2020,Q3,8,25
Animal or vegetable fats and oils,2020-08-28,2020,Q3,8,28,Ghana,2020-08-29,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,16968,17800,No,-,-,2020-09-03,2020,Q3,9,3
Animal or vegetable fats and oils,2020-08-29,2020,Q3,8,29,Ghana,2020-08-29,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,16032,16120,No,-,-,2020-09-03,2020,Q3,9,3
Animal or vegetable fats and oils,2020-08-29,2020,Q3,8,29,Ghana,2020-08-28,15111090,Other than 1511 10 10,Yes,Satisfactory,No,-,No,-,No,-,600,600,No,-,-,2020-09-01,2020,Q3,9,1
Cereals,2020-08-03,2020,Q3,8,3,China,2020-08-08,10063092,Round grain,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,14000,14500,No,-,-,2020-08-18,2020,Q3,8,18
Cereals,2020-08-03,2020,Q3,8,3,China,2020-08-08,10063092,Round grain,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,6000,6500,No,-,-,2020-08-18,2020,Q3,8,18
Cereals,2020-08-05,2020,Q3,8,5,China,2020-07-23,10062092,Round grain,Yes,Not satisfactory,No,-,No,-,No,-,14,16,Yes,Destruction,Absence of original certificate,2020-08-12,2020,Q3,8,12
"Coffee, tea, mate and spices",2020-08-20,2020,Q3,8,20,India,2020-07-27,9109105,Curry,Yes,Satisfactory,No,-,No,-,No,-,90,149,No,-,-,2020-08-25,2020,Q3,8,25
"Coffee, tea, mate and spices",2020-08-10,2020,Q3,8,10,India,2020-08-01,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,2000,2016,No,-,-,2020-08-10,2020,Q3,8,10
"Coffee, tea, mate and spices",2020-08-06,2020,Q3,8,6,India,2020-07-29,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,2400,2600,No,-,-,2020-08-15,2020,Q3,8,15
"Coffee, tea, mate and spices",2020-08-06,2020,Q3,8,6,India,2020-07-29,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3000,3200,No,-,-,2020-08-15,2020,Q3,8,15
"Coffee, tea, mate and spices",2020-08-06,2020,Q3,8,6,India,2020-07-30,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5000,5044,No,-,-,2020-08-07,2020,Q3,8,7
