DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_KG,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation ,NotAcceptable2,ReasonForRefusal,NoOfConsignments
2017-09-11,2017,Q3,Sep,11,2017-12,IN,London Gateway,IN,India,GB,GB,9042200,Crushed or ground,104,500,Human consumption,Satisfactory,no,2. Destruction,Not Satisfactory,Not Done,No,-,-,-,destruction,2. ID: Mis-match with documents,1
2017-09-27,2017,Q3,Sep,27,2017-12,NG,"Tilbury, P",NG,Nigeria,GB,GB,1207700010,"Watermelon (egusi, Citrullus spp.) seeds and derived products",22,429,Human consumption,Not Satisfactory,no,2. Destruction,Not Satisfactory,Not Done,No,-,-,-,destruction,1. Absence/Invalid certificate (if applicable),1
2017-09-27,2017,Q3,Sep,27,2017-12,NG,"Tilbury, P",NG,Nigeria,GB,GB,7133900,Other,293,5713,Human consumption,Not Satisfactory,no,2. Destruction,Not Satisfactory,Not Done,No,-,-,-,destruction,6. Other,1
2017-10-03,2017,Q4,Oct,3,2017-12,NG,"Tilbury, P",NG,Nigeria,GB,GB,1207700010,"Watermelon (egusi, Citrullus spp.) seeds and derived products",41,820,Human consumption,Not Satisfactory,no,2. Destruction,Not Satisfactory,Not Satisfactory,No,-,-,-,destruction,1. Absence/Invalid certificate (if applicable),1
2017-10-26,2017,Q4,Oct,26,2017-12,TR,London Gateway,TR,Turkey,GB,GB,8055010,"Lemons (Citrus limon, Citrus limonum)",2496,23300,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-11-09,2017,Q4,Nov,9,2017-12,TR,"Felixstowe, P",TR,Turkey,GB,GB,8131000,Apricots,400,2000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-11-09,2017,Q4,Nov,9,2017-12,TR,"Felixstowe, P",TR,Turkey,GB,GB,8131000,Apricots,400,2000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-11-09,2017,Q4,Nov,9,2017-12,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25160,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-09,2017,Q4,Nov,9,2017-12,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-11-09,2017,Q4,Nov,9,2017-12,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25400,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-11-09,2017,Q4,Nov,9,2017-12,IN,"Felixstowe, P",IN,India,GB,GB,12074090,Other,760,19000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Salmonella spp.,satisfactory,Human consumption,-,-,1
2017-11-09,2017,Q4,Nov,9,2017-12,IN,Belfast City Council (CED),IN,India,IE,IE,904219080,Other,50,250,Human consumption,Not Satisfactory,no,2. Destruction,Not Satisfactory,Not Satisfactory,No,-,-,-,destruction,1. Absence/Invalid certificate (if applicable),1
2017-11-09,2017,Q4,Nov,9,2017-12,IN,Belfast City Council (CED),IN,India,IE,IE,904219080,Other,50,250,Human consumption,Not Satisfactory,no,2. Destruction,Not Satisfactory,Not Satisfactory,No,-,-,-,destruction,2. ID: Mis-match with documents,1
2017-11-10,2017,Q4,Nov,10,2017-12,US,"Southampton, P",US,United States,GB,GB,8025100,In shell,22,19958,Human consumption,Not Satisfactory,no,1. Re-dispatching,Not Satisfactory,Not Satisfactory,Yes,Aflatoxins,notsatisfactory,-,redispatch,4. Chemical contamination,1
2017-11-13,2017,Q4,Nov,13,2017-12,IN,"Felixstowe, P",IN,India,GB,GB,12074090,Other,1700,10200,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Salmonella spp.,satisfactory,Human consumption,-,-,1
2017-11-14,2017,Q4,Nov,14,2017-12,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",20,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-14,2017,Q4,Nov,14,2017-12,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",20,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-14,2017,Q4,Nov,14,2017-12,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",20,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-14,2017,Q4,Nov,14,2017-12,IN,"Felixstowe, P",IN,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),240,6000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-15,2017,Q4,Nov,15,2017-12,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24880,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-11-15,2017,Q4,Nov,15,2017-12,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24880,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-11-16,2017,Q4,Nov,16,2017-12,IN,"Felixstowe, P",IN,India,GB,GB,904220090,Other,30,360,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-11-16,2017,Q4,Nov,16,2017-12,IN,"Felixstowe, P",IN,India,GB,GB,904220090,Other,30,360,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-11-16,2017,Q4,Nov,16,2017-12,IN,"Felixstowe, P",IN,India,GB,GB,904220090,Other,15,180,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-11-16,2017,Q4,Nov,16,2017-12,IN,"Felixstowe, P",IN,India,GB,GB,904220090,Other,10,120,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-11-16,2017,Q4,Nov,16,2017-12,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062090,Other,1680,21000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-11-16,2017,Q4,Nov,16,2017-12,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,1600,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-11-17,2017,Q4,Nov,17,2017-12,IN,"Felixstowe, P",IN,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),480,12000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-17,2017,Q4,Nov,17,2017-12,BR,"Felixstowe, P",BR,Brazil,GB,GB,12024200,"Shelled, whether or not broken",20,25000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-17,2017,Q4,Nov,17,2017-12,CN,"Felixstowe, P",CN,China,NL,GB,19023090,Other,9000,16200,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,GM rice,satisfactory,Human consumption,-,-,1
2017-11-17,2017,Q4,Nov,17,2017-12,CN,"Felixstowe, P",CN,China,NL,GB,19023090,Other,9000,16200,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,GM rice,satisfactory,Human consumption,-,-,1
2017-11-17,2017,Q4,Nov,17,2017-12,MA,"Felixstowe, P",MA,China,GB,GB,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,130,288.36,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-11-20,2017,Q4,Nov,20,2017-12,HK,"Southampton, P",CN,China,GB,GB,190230,Other pasta,1300,15600,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,GM rice,satisfactory,Human consumption,-,-,1
2017-11-20,2017,Q4,Nov,20,2017-12,TR,"Felixstowe, P",TR,Turkey,GB,GB,20081919,Other,84,2100,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-20,2017,Q4,Nov,20,2017-12,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,2600,15600,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-11-20,2017,Q4,Nov,20,2017-12,TR,Liverpool,TR,Turkey,GB,GB,8062090,Other,1600,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-11-20,2017,Q4,Nov,20,2017-12,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062090,Other,1700,19550,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-11-20,2017,Q4,Nov,20,2017-12,CN,"Felixstowe, P",CN,China,NL,GB,12024200,"Shelled, whether or not broken",760,19000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-21,2017,Q4,Nov,21,2017-12,IN,"Felixstowe, P",IN,India,GB,GB,904220019,Other,2000,4000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-21,2017,Q4,Nov,21,2017-12,TW,"Felixstowe, P",CN,China,GB,GB,19023010,Dried,5850,13163,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,GM rice,satisfactory,Human consumption,-,-,1
2017-11-21,2017,Q4,Nov,21,2017-12,IN,"Felixstowe, P",IN,India,GB,GB,904220090,Other,520,13000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
