DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-12-03,2018,Q4,Dec,3,2018-12,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,843,9688,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-12-03,2018,Q4,Dec,3,2018-12,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,843,9688,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-12-03,2018,Q4,Dec,3,2018-12,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,843,9688,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-12-07,2018,Q4,Dec,7,2018-12,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1318,14721,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-12-07,2018,Q4,Dec,7,2018-12,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1318,14721,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-12-07,2018,Q4,Dec,7,2018-12,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1318,14721,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-12-19,2018,Q4,Dec,19,2018-12,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,714,7882,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-04,2018,Q4,Dec,4,2018-12,JP,"Southampton, P",GB,Japan,GB,GB,22060059,Other,10,23,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-06,2018,Q4,Dec,6,2018-12,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",13,246,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-06,2018,Q4,Dec,6,2018-12,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",2520,15120,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-17,2018,Q4,Dec,17,2018-12,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",11,224,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-07,2018,Q4,Dec,7,2018-12,CN,"Felixstowe, P",GB,China,GB,GB,18069050,"Sugar confectionery and substitutes therefor made from sugar substitution products, containing cocoa",1008,4838,Human consumption,Not satisfactory,-,Re-dispatching,/,/,no,-,-,-,-,Absence/Invalid certificate (if applicable),1
2018-12-07,2018,Q4,Dec,7,2018-12,CN,"Felixstowe, P",GB,China,GB,GB,18069050,"Sugar confectionery and substitutes therefor made from sugar substitution products, containing cocoa",1813,5516,Human consumption,Not satisfactory,-,Re-dispatching,/,/,no,-,-,-,-,Absence/Invalid certificate (if applicable),1
2018-12-07,2018,Q4,Dec,7,2018-12,CN,"Felixstowe, P",GB,China,GB,GB,18069050,"Sugar confectionery and substitutes therefor made from sugar substitution products, containing cocoa",1015,7188,Human consumption,Not satisfactory,-,Re-dispatching,/,/,no,-,-,-,-,Absence/Invalid certificate (if applicable),1
2018-12-07,2018,Q4,Dec,7,2018-12,CN,"Felixstowe, P",GB,China,GB,GB,18069050,"Sugar confectionery and substitutes therefor made from sugar substitution products, containing cocoa",1017,5136,Human consumption,Not satisfactory,-,Re-dispatching,/,/,no,-,-,-,-,Absence/Invalid certificate (if applicable),1
2018-11-21,2018,Q4,Nov,21,2018-12,JP,"Southampton, P",GB,Japan,GB,GB,21039090,Other,150,2544,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Radionuclides,Satisfactory,Human consumption,-,-,1
2018-11-23,2018,Q4,Nov,23,2018-12,JP,Heathrow,GB,Japan,GB,GB,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",8,58,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,1
