Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Animal or vegetable fats and oils,2019-11-29,2019,Q4,11,29,2019-12-07,Ghana,2019-12-05,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,9557
Other/Animal or vegetable fats and oils,2019-12-05,2019,Q4,12,5,2019-12-09,Ghana,2019-12-02,For import,15111090,Other than 1511 10 10,Ambient,Human consumption,Not satisfactory,-,Destruction,Not satisfactory,/,no,-,-,-,-,-, ,1,120
Other/Animal or vegetable fats and oils,2019-12-10,2019,Q4,12,10,2019-12-19,Ghana,2019-12-13,For import,15111090,Other than 1511 10 10,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.DYES,Satisfactory,Human consumption,-,-,"Tilbury, P",1,2928
Other/Animal or vegetable fats and oils,2019-12-11,2019,Q4,12,11,2019-12-18,Ghana,2019-12-13,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Tilbury, P",1,14043
Other/Animal or vegetable fats and oils,2019-12-11,2019,Q4,12,11,2019-12-19,Ghana,2019-12-13,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Scarlet Red; or Sudan IV (CAS number 85-83-6),Satisfactory,Human consumption,-,-,"Tilbury, P",1,13189
Other/Animal or vegetable fats and oils,2019-12-11,2019,Q4,12,11,2019-12-19,Ghana,2019-12-13,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,"Tilbury, P",1,13189
Other/Animal or vegetable fats and oils,2019-12-11,2019,Q4,12,11,2019-12-19,Ghana,2019-12-13,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,"Tilbury, P",1,13189
Other/Animal or vegetable fats and oils,2019-12-11,2019,Q4,12,11,2019-12-19,Ghana,2019-12-13,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,"Tilbury, P",1,13189
Other/Animal or vegetable fats and oils,2019-12-13,2019,Q4,12,13,2019-12-16,Ghana,2019-12-13,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Tilbury, P",1,16000
Other/Animal or vegetable fats and oils,2019-12-13,2019,Q4,12,13,2019-12-16,Ghana,2019-12-13,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Tilbury, P",1,12334
