DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-02-01,2017,Q1,Feb,1,2017-02,-,EG,Heathrow,EG,Egypt,GB,GB,07096099,Other,71,249,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,TH,Manchester,TH,Thailand,GB,GB,07096099,Other,22,68,Human consumption,Satisfactory,yes,-,Satisfactory,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,TH,Manchester,TH,Thailand,GB,GB,07093000,Aubergines (eggplants),10,49,Human consumption,Satisfactory,yes,-,Satisfactory,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,CN,Stansted,CN,China,GB,GB,09021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,1,6,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,DO,Gatwick,DO,Dominican Republic,GB,GB,07082000,Beans (Vigna spp. Phaseolus spp.),80,327,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12074090,Other,840,19051.2,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Salmonella spp.,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,967,4835,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,25000,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,AR,Felixstowe P,AR,Argentina,NL,GB,12024200,Shelled whether or not broken,20,24840,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,AR,Felixstowe P,AR,Argentina,NL,GB,12024200,Shelled whether or not broken,20,24940,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,AR,Felixstowe P,AR,Argentina,NL,GB,12024200,Shelled whether or not broken,20,24960,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,AR,Felixstowe P,AR,Argentina,NL,GB,12024200,Shelled whether or not broken,25020,25020,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,AR,Felixstowe P,AR,Argentina,NL,GB,12024200,Shelled whether or not broken,20,24800,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,AR,Felixstowe P,AR,Argentina,NL,GB,12024200,Shelled whether or not broken,20,25020,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,EG,Heathrow,EG,Egypt,GB,GB,07096099,Other,150,750,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,330,990,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Felixstowe P,JP,Japan,GB,GB,21039090,Other,850,14840,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Felixstowe P,JP,Japan,GB,GB,20089759,Other,20,300,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Felixstowe P,JP,Japan,GB,GB,00200899,Other,12,72,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Felixstowe P,JP,Japan,GB,GB,21039090,Other,40,150,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Felixstowe P,JP,Japan,GB,GB,20049098,Other,45,102.24,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Felixstowe P,JP,Japan,GB,GB,21069092,Containing no milkfats sucrose isoglucose glucose or starch or containing by weight less than 1.5|% milkfat 5|% sucrose or isoglucose 5|% glucose or starch,40,86.4,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Felixstowe P,JP,Japan,GB,GB,21039090,Other,15,90,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Felixstowe P,JP,Japan,GB,GB,20049098,Other,3,27,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Felixstowe P,JP,Japan,GB,GB,21039090,Other,5,50,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Felixstowe P,JP,Japan,GB,GB,21039090,Other,155,1120,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,JP,Felixstowe P,JP,Japan,GB,GB,21039090,Other,407,3976.5,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12024200,Shelled whether or not broken,800,19888,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12024200,Shelled whether or not broken,800,19888,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12024200,Shelled whether or not broken,800,19888,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12024200,Shelled whether or not broken,800,19888,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12024200,Shelled whether or not broken,800,19888,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12024200,Shelled whether or not broken,800,19888,Feedingstuff,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Feedingstuff,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12024200,Shelled whether or not broken,800,19888,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12024200,Shelled whether or not broken,800,19888,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12024200,Shelled whether or not broken,800,19888,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Felixstowe P,IN,India,GB,GB,12024200,Shelled whether or not broken,800,19888,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,TR,Felixstowe P,TR,Turkey,GB,GB,08042090,Dried,20,7200,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,459,2367,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,700,2580,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,267,1535,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,No,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,832,2652,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,KE,Stansted,KE,Kenya,GB,GB,07081000,Peas (Pisum sativum),80,600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,-,-,-,2017-02,1
2017-02-01,2017,Q1,Feb,1,2017-02,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,450,1350,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-02,1
