DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2019-02-06,2019,Q1,Feb,6,2019-02,GH,"Felixstowe, P",GB,Ghana,GB,GH,15119099,Other,1088,11700,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-02-06,2019,Q1,Feb,6,2019-02,GH,London Gateway,GB,Ghana,GB,GH,15119011,In immediate packings of a net content not exceeding 1|kg,706,7794,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-02-06,2019,Q1,Feb,6,2019-02,GH,"Felixstowe, P",GB,Ghana,GB,GH,15119099,Other,1360,11620,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.DYES,Satisfactory,Human consumption,-,-,1
2019-02-14,2019,Q1,Feb,14,2019-02,GH,London Gateway,GB,Ghana,GB,GH,15119011,In immediate packings of a net content not exceeding 1|kg,711,7850,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,no,-,-,Human consumption,-,-,1
2019-02-22,2019,Q1,Feb,22,2019-02,GH,"Tilbury, P",GB,Ghana,GB,GH,15111090,Other than 1511 10 10,313,7512,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-02-01,2019,Q1,Feb,1,2019-02,JP,"Southampton, P",GB,Japan,GB,JP,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",37,178,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Radionuclides,Satisfactory,Human consumption,-,-,1
2019-02-07,2019,Q1,Feb,7,2019-02,JP,"Felixstowe, P",GB,Japan,GB,JP,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",11,224,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-01-31,2019,Q1,Jan,31,2019-02,JP,"Southampton, P",GB,Japan,GB,JP,21039090,Other,425,8200,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-01-31,2019,Q1,Jan,31,2019-02,JP,"Southampton, P",GB,Japan,GB,JP,21039090,Other,25,94,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-02-01,2019,Q1,Feb,1,2019-02,JP,"Southampton, P",GB,Japan,GB,JP,21039010,"Mango chutney, liquid",32,123,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-02-01,2019,Q1,Feb,1,2019-02,JP,"Southampton, P",GB,Japan,GB,JP,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",6,45,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-02-01,2019,Q1,Feb,1,2019-02,JP,"Southampton, P",GB,Japan,GB,JP,21031000,Soya sauce,30,360,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,-,-,Human consumption,-,-,1
2019-02-01,2019,Q1,Feb,1,2019-02,JP,"Southampton, P",GB,Japan,GB,JP,21039090,Other,18,71,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,-,-,Human consumption,-,-,1
2019-02-07,2019,Q1,Feb,7,2019-02,JP,"Southampton, P",GB,Japan,GB,JP,21039090,Other,28,168,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-02-07,2019,Q1,Feb,7,2019-02,JP,"Felixstowe, P",GB,Japan,GB,JP,21031000,Soya sauce,134,2164,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-02-07,2019,Q1,Feb,7,2019-02,JP,"Felixstowe, P",GB,Japan,GB,JP,21041000,Soups and broths and preparations therefor,27,388,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-02-07,2019,Q1,Feb,7,2019-02,JP,"Southampton, P",GB,Japan,GB,JP,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",6,18,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-02-07,2019,Q1,Feb,7,2019-02,JP,"Southampton, P",GB,Japan,GB,JP,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",991,14270,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-02-08,2019,Q1,Feb,8,2019-02,JP,Heathrow,GB,Japan,GB,JP,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",11,79,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-02-08,2019,Q1,Feb,8,2019-02,JP,"Felixstowe, P",GB,Japan,GB,JP,21069098,Other,5,28,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-02-08,2019,Q1,Feb,8,2019-02,JP,"Felixstowe, P",GB,Japan,GB,JP,21069098,Other,20,147,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-02-08,2019,Q1,Feb,8,2019-02,JP,"Felixstowe, P",GB,Japan,GB,JP,21039090,Other,72,1440,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Cesium 134,Satisfactory,Human consumption,-,-,1
2019-02-08,2019,Q1,Feb,8,2019-02,JP,"Felixstowe, P",GB,Japan,GB,JP,21039090,Other,72,1440,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Cesium 137,Satisfactory,Human consumption,-,-,1
