Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Animal or vegetable fats and oils,2020-01-23,2020,Q1,1,23,2020-02-07,Ghana,2020-01-25,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.DYES,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,5178
Other/Animal or vegetable fats and oils,2020-01-28,2020,Q1,1,28,2020-02-07,Ghana,2020-01-25,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,"Tilbury, P",1,6816
Other/Animal or vegetable fats and oils,2020-01-28,2020,Q1,1,28,2020-02-07,Ghana,2020-01-25,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,"Tilbury, P",1,6816
Other/Animal or vegetable fats and oils,2020-01-28,2020,Q1,1,28,2020-02-07,Ghana,2020-01-25,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,"Tilbury, P",1,6816
Other/Animal or vegetable fats and oils,2020-01-30,2020,Q1,1,30,2020-02-06,Ghana,2020-02-05,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,16760
Other/Animal or vegetable fats and oils,2020-02-05,2020,Q1,2,5,2020-02-06,Ghana,2020-02-03,For import,15119099,Other,Ambient,Human consumption,Not satisfactory,-,Destruction,Not satisfactory,/,no,-,-,-,-,-, ,1,60
Other/Animal or vegetable fats and oils,2020-02-05,2020,Q1,2,5,2020-02-06,Ghana,2020-02-03,For import,15119099,Other,Ambient,Human consumption,Not satisfactory,-,Destruction,Not satisfactory,/,no,-,-,-,-,-, ,1,120
Other/Animal or vegetable fats and oils,2020-02-05,2020,Q1,2,5,2020-02-06,Ghana,2020-02-03,For import,15111090,Other than 1511 10 10,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,no,-,-,-,Destruction,"Other, create RASFF notification",Heathrow,1,40
Other/Animal or vegetable fats and oils,2020-02-10,2020,Q1,2,10,2020-02-10,Ghana,2020-02-10,For import,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,Heathrow,1,60
"Other/Preparations of cereals, flour, starch or milk",2019-12-04,2019,Q4,12,4,2020-02-06,China,2019-12-08,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Not satisfactory,-,-,"Other, create RASFF notification","Southampton, P",1,1935
