DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-01-01,2017,Q1,Jan,1,2017-01,-,IN,Heathrow,IN,India,GB,GB,14049000,Other,110,440,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,KE,Stansted,KE,Kenya,GB,GB,07081000,Peas (Pisum sativum),469,2345,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,260,1180.4,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,275,1248,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,KE,Heathrow,KE,Kenya,GB,GB,07081000,Peas (Pisum sativum),160,256,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,KE,Stansted,KE,Kenya,GB,GB,07081000,Peas (Pisum sativum),1000,1500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,300,1500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,07096099,Other,200,820,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,KE,Heathrow,KE,Kenya,GB,GB,07081000,Peas (Pisum sativum),385,770,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,KE,Stansted,KE,Kenya,GB,GB,07081000,Peas (Pisum sativum),400,600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,KE,Stansted,KE,Kenya,GB,GB,07081000,Peas (Pisum sativum),22,175.2,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,790,2590,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,220,910,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,260,1215,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,165,750,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,110,528,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,KE,Heathrow,KE,Kenya,GB,GB,07081000,Peas (Pisum sativum),600,900,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,240,600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,IN,Heathrow,IN,India,GB,GB,14049000,Other,93,465,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-01,2017,Q1,Jan,1,2017-01,-,KE,Stansted,KE,Kenya,GB,GB,07081000,Peas (Pisum sativum),349,1010,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,150,375,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,07096099,Other,103,361,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,330,1584,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,660,1650,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,No,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,DO,Manchester,DO,Dominican Republic,GB,GB,07082000,Beans (Vigna spp. Phaseolus spp.),100,409,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,660,2970,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,330,1485,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,330,1485,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,400,1000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,07096099,Other,340,1394,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,07096099,Other,300,1200,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,320,960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,680,2480,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,08101000,Strawberries,110,528,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,EG,Heathrow,EG,Egypt,GB,GB,07096099,Other,31,124,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,KE,Stansted,KE,Kenya,GB,GB,07081000,Peas (Pisum sativum),400,600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,IN,Heathrow,IN,India,GB,GB,14049000,Other,100,500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Salmonella spp.,satisfactory,Human consumption,-,-,2017-01,1
2017-01-02,2017,Q1,Jan,2,2017-01,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,720,2600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-03,2017,Q1,Jan,3,2017-01,-,TR,Felixstowe P,TR,Turkey,GB,GB,08131000,Apricots,2340,7488,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-03,2017,Q1,Jan,3,2017-01,-,TR,Felixstowe P,TR,Turkey,GB,GB,08131000,Apricots,50,600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-03,2017,Q1,Jan,3,2017-01,-,TR,Felixstowe P,TR,Turkey,GB,GB,08131000,Apricots,1410,2115,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-03,2017,Q1,Jan,3,2017-01,-,TR,Felixstowe P,TR,Turkey,GB,GB,08131000,Apricots,1063,2126,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-03,2017,Q1,Jan,3,2017-01,-,CN,Felixstowe P,CN,China,GB,GB,09024000,Other black tea (fermented) and other partly fermented tea,1,1.5,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-03,2017,Q1,Jan,3,2017-01,-,CN,Felixstowe P,CN,China,GB,GB,09024000,Other black tea (fermented) and other partly fermented tea,1,2.5,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-03,2017,Q1,Jan,3,2017-01,-,CN,Felixstowe P,CN,China,GB,GB,09021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,1,3.5,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-03,2017,Q1,Jan,3,2017-01,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24660,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-03,2017,Q1,Jan,3,2017-01,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24300,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-03,2017,Q1,Jan,3,2017-01,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24640,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-03,2017,Q1,Jan,3,2017-01,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24680,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-03,2017,Q1,Jan,3,2017-01,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
2017-01-03,2017,Q1,Jan,3,2017-01,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24620,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-01,1
