DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-01-02,2018,Q1,Jan,2,2018-01,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13321.5,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-01-02,2018,Q1,Jan,2,2018-01,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13321.5,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-01-02,2018,Q1,Jan,2,2018-01,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13321.5,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-01-04,2018,Q1,Jan,4,2018-01,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,908,11302,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-01-11,2018,Q1,Jan,11,2018-01,GH,"Tilbury, P",GB,Ghana,GB,GB,15119099,Other,590,6240,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Not satisfactory,-,Destruction,"Other, create RASFF notification",1
2018-01-15,2018,Q1,Jan,15,2018-01,GH,"Tilbury, P",GB,Ghana,GB,GB,1511901990,Other,1281,14080,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-01-24,2018,Q1,Jan,24,2018-01,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,250,3000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-01-02,2018,Q1,Jan,2,2018-01,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",5,120,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2017-11-22,2017,Q4,Nov,22,2018-01,CN,East Midlands,GB,China,GB,GB,9022000,Other green tea (not fermented),5,50,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.RESIDUES OF PESTICIDES,Satisfactory,Human consumption,-,-,1
2017-12-18,2017,Q4,Dec,18,2018-01,HK,Heathrow,GB,China,GB,GB,9022000,Other green tea (not fermented),30,294,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,yes,.RESIDUES OF PESTICIDES,Not satisfactory,-,Re-dispatching,Chemical contamination,1
