Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Animal or vegetable fats and oils,2020-01-02,2020,Q1,1,2,2020-01-02,Ghana,2019-12-28,For import,1511901990,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Tilbury, P",1,7720
Other/Animal or vegetable fats and oils,2020-01-17,2020,Q1,1,17,2020-01-24,Ghana,2020-01-17,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,"Felixstowe, P",1,12608
Other/Animal or vegetable fats and oils,2020-01-17,2020,Q1,1,17,2020-01-24,Ghana,2020-01-17,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,"Felixstowe, P",1,12608
Other/Animal or vegetable fats and oils,2020-01-17,2020,Q1,1,17,2020-01-24,Ghana,2020-01-17,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,"Felixstowe, P",1,12608
Other/Miscellaneous edible preparations,2019-12-27,2019,Q4,12,27,2020-01-04,Japan,2020-01-04,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,8
Other/Miscellaneous edible preparations,2020-01-02,2020,Q1,1,2,2020-01-02,China,2020-01-02,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,Stansted,1,0
"Other/Preparations of cereals, flour, starch or milk",2019-12-17,2019,Q4,12,17,2020-01-08,China,2019-12-11,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,18605
"Other/Preparations of cereals, flour, starch or milk",2019-12-17,2019,Q4,12,17,2020-01-08,China,2019-12-11,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,18569
"Other/Preparations of cereals, flour, starch or milk",2019-12-19,2019,Q4,12,19,2020-01-09,China,2019-12-18,For import,19049010,Obtained from rice,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,21000
"Other/Preparations of cereals, flour, starch or milk",2019-12-20,2019,Q4,12,20,2020-01-08,China,2019-12-18,For import,19023090,Other,Frozen,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,3000
