DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-07-02,2018,Q3,Jul,2,2018-07,GH,"Tilbury, P",GB,Ghana,GB,GB,1511901990,Other,551,6612,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-07-09,2018,Q3,Jul,9,2018-07,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,403,4725,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-07-12,2018,Q3,Jul,12,2018-07,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,847,9351,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-28,2018,Q2,Jun,28,2018-07,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",1680,10080,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-07-18,2018,Q3,Jul,18,2018-07,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",5,120,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-20,2018,Q2,Apr,20,2018-07,IN,Stansted,GB,India,GB,GB,904220019,Other,1,0,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-31,2018,Q2,May,31,2018-07,IN,Liverpool,GB,India,GB,GB,904220090,Other,160,400,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-12,2018,Q2,Jun,12,2018-07,IN,"Felixstowe, P",GB,India,GB,GB,904220019,Other,700,14000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-12,2018,Q2,Jun,12,2018-07,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),360,9000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-13,2018,Q2,Jun,13,2018-07,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),280,7000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-15,2018,Q2,Jun,15,2018-07,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,1750,10500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-18,2018,Q2,Jun,18,2018-07,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),800,12000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-18,2018,Q2,Jun,18,2018-07,AU,"Southampton, P",GB,China,GB,GB,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,86,307,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Pyrifenox,Satisfactory,Human consumption,-,-,1
2018-06-18,2018,Q2,Jun,18,2018-07,AU,"Southampton, P",GB,China,GB,GB,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,3,8,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-18,2018,Q2,Jun,18,2018-07,AU,"Southampton, P",GB,China,GB,GB,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",44,151,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-19,2018,Q2,Jun,19,2018-07,IN,"Felixstowe, P",GB,India,GB,GB,904220019,Other,40,288,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-19,2018,Q2,Jun,19,2018-07,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,250,6250,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-19,2018,Q2,Jun,19,2018-07,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),240,6000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-21,2018,Q2,Jun,21,2018-07,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),640,16000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-21,2018,Q2,Jun,21,2018-07,IN,"Southampton, P",GB,India,GB,GB,904220090,Other,250,5000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-22,2018,Q2,Jun,22,2018-07,CN,"Southampton, P",GB,China,GB,GB,9022000,Other green tea (not fermented),539,2290,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Atrazine,Satisfactory,Human consumption,-,-,1
2018-06-22,2018,Q2,Jun,22,2018-07,ID,London Gateway,GB,Indonesia,GB,GB,9081200,Crushed or ground,640,16000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-22,2018,Q2,Jun,22,2018-07,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),415,2490,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-22,2018,Q2,Jun,22,2018-07,IN,"Felixstowe, P",GB,India,GB,GB,904220019,Other,2964,23040,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,1,5,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,1,6,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,1,9,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,1,6,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,1,8,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,1,7,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,2,20,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,5,66,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,5,34,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,3,18,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,2,14,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,5,29,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,3,23,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,1,13,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,10,96,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,2,15,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,4,34,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,1,9,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,1,7,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,8,54,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,1,3,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,5,9,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,4,35,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,8,16,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,1,4,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-23,2018,Q2,Jun,23,2018-07,IN,"Tilbury, P",GB,India,GB,GB,904220090,Other,20,154,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-06-24,2018,Q2,Jun,24,2018-07,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),80,480,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-24,2018,Q2,Jun,24,2018-07,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),360,3120,Human consumption,Not satisfactory,-,Destruction,Satisfactory,/,no,-,-,-,-,-,1
