"Commoditygroups","DeclarationDate","YearofDeclaration","QuarterofDeclaration","MonthofDeclaration","DayofDeclaration","DecisionControlDateMonth","CountryofOrigin","ArrivalatDPE","Forimport","CommodityCode","Descriptionofcommodity","Producttemperature","Commodityintendedfor","Documentarycheck","AcceptableforTransfer","NotAcceptable","IdentityCheck","PhysicalCheck","LaboratoryTests","TestedFor","Results","Acceptableforreleaseforfreecirculation","NotAcceptable2","ReasonforRefusal","DPEName","NoOfConsignments","NetWeightKg"
"Other/Animal or vegetable fats and oils","2019-06-21","2019","Q2","6","21","2019-07-04","Ghana","2019-06-21","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan I (CAS number 842-07-9)","Satisfactory","Human consumption","-","-","Tilbury, P","1","13000"
"Other/Animal or vegetable fats and oils","2019-07-03","2019","Q3","7","3","2019-07-03","Ghana","2019-06-07","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","/","no","-","-","Human consumption","-","-","Tilbury, P","1","15040"
"Other/Animal or vegetable fats and oils","2019-07-09","2019","Q3","7","9","2019-07-10","Ghana","2019-07-08","For import","15111090","Other than 1511 10 10","Ambient","Human consumption","Not satisfactory","-","Destruction","Not satisfactory","/","no","-","-","-","-","-"," ","1","20"
"Other/Animal or vegetable fats and oils","2019-07-11","2019","Q3","7","11","2019-07-20","Ghana","2019-07-13","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan I (CAS number 842-07-9)","Satisfactory","Human consumption","-","-","London Gateway","1","12225"
"Other/Animal or vegetable fats and oils","2019-07-11","2019","Q3","7","11","2019-07-20","Ghana","2019-07-13","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan II (CAS number 3118-97-6)","Satisfactory","Human consumption","-","-","London Gateway","1","12225"
"Other/Animal or vegetable fats and oils","2019-07-11","2019","Q3","7","11","2019-07-20","Ghana","2019-07-13","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan III (CAS number 85-86-9)","Satisfactory","Human consumption","-","-","London Gateway","1","12225"
"Other/Animal or vegetable fats and oils","2019-07-26","2019","Q3","7","26","2019-07-26","Ghana","2019-07-12","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Tilbury, P","1","12800"
"Other/Animal or vegetable fats and oils","2019-07-30","2019","Q3","7","30","2019-07-30","Ghana","2019-07-29","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Tilbury, P","1","12334"
"Other/Beverages, spirits and vinegar","2019-06-27","2019","Q2","6","27","2019-07-04","Japan","2019-06-29","For import","22029911","Soya-based beverages with a protein content of 2,8 % or more by weight","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","-","-","Human consumption","-","-","Southampton, P","1","211"
"Other/Beverages, spirits and vinegar","2019-07-01","2019","Q3","7","1","2019-07-08","Japan","2019-07-10","For import","22029911","Soya-based beverages with a protein content of 2,8 % or more by weight","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","3343"
"Other/Beverages, spirits and vinegar","2019-07-09","2019","Q3","7","9","2019-07-09","Japan","2019-07-11","For import","22029911","Soya-based beverages with a protein content of 2,8 % or more by weight","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","206"
"Other/Miscellaneous edible preparations","2019-06-20","2019","Q2","6","20","2019-07-02","Japan","2019-07-06","For import","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","199"
"Other/Miscellaneous edible preparations","2019-06-24","2019","Q2","6","24","2019-07-01","Japan","2019-06-20","For import","21069098","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","367"
"Other/Miscellaneous edible preparations","2019-06-26","2019","Q2","6","26","2019-07-01","Japan","2019-07-04","For import","21039090","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","75"
"Other/Miscellaneous edible preparations","2019-06-26","2019","Q2","6","26","2019-07-01","Japan","2019-07-04","For import","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","69"
"Other/Miscellaneous edible preparations","2019-06-26","2019","Q2","6","26","2019-07-02","Japan","2019-06-29","For import","21039010","Mango chutney, liquid","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","213"
"Other/Miscellaneous edible preparations","2019-06-26","2019","Q2","6","26","2019-07-02","Japan","2019-06-29","For import","21031000","Soya sauce","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","40"
"Other/Miscellaneous edible preparations","2019-06-26","2019","Q2","6","26","2019-07-03","Japan","2019-07-04","For import","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","22"
