CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
Animal feed,2020-07-23,2020,Q3,7,23,Turkey,2020-07-23,23091090,Other,No,-,No,-,No,-,No,-,2172,2172,No,-,-,,2020,Q3,7,
Animal or vegetable fats and oils,2020-07-02,2020,Q3,7,2,Ghana,2020-07-03,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,15040,17180,No,-,-,2020-07-10,2020,Q3,7,10
Animal or vegetable fats and oils,2020-07-07,2020,Q3,7,7,Ghana,2020-07-06,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,144,570,No,-,-,2020-07-14,2020,Q3,7,14
Animal or vegetable fats and oils,2020-07-07,2020,Q3,7,7,Ghana,2020-07-06,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,144,570,No,-,-,2020-07-14,2020,Q3,7,14
Animal or vegetable fats and oils,2020-07-07,2020,Q3,7,7,Ghana,2020-07-06,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,144,570,No,-,-,2020-07-14,2020,Q3,7,14
Animal or vegetable fats and oils,2020-07-07,2020,Q3,7,7,Ghana,2020-07-06,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,144,570,No,-,-,2020-07-14,2020,Q3,7,14
Animal or vegetable fats and oils,2020-07-06,2020,Q3,7,6,Ghana,2020-07-07,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,7803,8128,No,-,-,2020-07-17,2020,Q3,7,17
Animal or vegetable fats and oils,2020-07-06,2020,Q3,7,6,Ghana,2020-07-07,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,7803,8128,No,-,-,2020-07-17,2020,Q3,7,17
Animal or vegetable fats and oils,2020-07-06,2020,Q3,7,6,Ghana,2020-07-07,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,7803,8128,No,-,-,2020-07-17,2020,Q3,7,17
Animal or vegetable fats and oils,2020-07-06,2020,Q3,7,6,Ghana,2020-07-07,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,7803,8128,No,-,-,2020-07-17,2020,Q3,7,17
Animal or vegetable fats and oils,2020-07-06,2020,Q3,7,6,Ghana,2020-07-07,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,7392,7641,No,-,-,2020-07-06,2020,Q3,7,6
Animal or vegetable fats and oils,2020-07-10,2020,Q3,7,10,Ghana,2020-07-14,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,11247,12041,No,-,-,2020-07-16,2020,Q3,7,16
Animal or vegetable fats and oils,2020-07-13,2020,Q3,7,13,Ghana,2020-07-13,15111090,Other than 1511 10 10,Yes,Satisfactory,No,-,No,-,No,-,2462,2605,No,-,-,2020-07-15,2020,Q3,7,15
Animal or vegetable fats and oils,2020-07-13,2020,Q3,7,13,Ghana,2020-07-20,15111090,Other than 1511 10 10,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,21065,21518,No,-,-,2020-08-04,2020,Q3,8,4
Animal or vegetable fats and oils,2020-07-13,2020,Q3,7,13,Ghana,2020-07-20,15111090,Other than 1511 10 10,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,21065,21518,No,-,-,2020-08-04,2020,Q3,8,4
Animal or vegetable fats and oils,2020-07-22,2020,Q3,7,22,Ghana,2020-07-20,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,5221,5471,No,-,-,2020-07-22,2020,Q3,7,22
Animal or vegetable fats and oils,2020-07-24,2020,Q3,7,24,Ghana,2020-07-24,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,12466,13134,No,-,-,2020-07-31,2020,Q3,7,31
Animal or vegetable fats and oils,2020-07-24,2020,Q3,7,24,Ghana,2020-07-31,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,15370,17060,No,-,-,2020-07-30,2020,Q3,7,30
Animal or vegetable fats and oils,2020-07-27,2020,Q3,7,27,Ghana,2020-07-24,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,150,170,No,-,-,2020-07-27,2020,Q3,7,27
Animal or vegetable fats and oils,2020-07-29,2020,Q3,7,29,Ghana,2020-08-01,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,16248,18956,No,-,-,2020-08-13,2020,Q3,8,13
Animal or vegetable fats and oils,2020-07-29,2020,Q3,7,29,Ghana,2020-08-01,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,16248,18956,No,-,-,2020-08-13,2020,Q3,8,13
Animal or vegetable fats and oils,2020-07-29,2020,Q3,7,29,Ghana,2020-08-01,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,16248,18956,No,-,-,2020-08-13,2020,Q3,8,13
Animal or vegetable fats and oils,2020-07-29,2020,Q3,7,29,Ghana,2020-08-01,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,16248,18956,No,-,-,2020-08-13,2020,Q3,8,13
Animal or vegetable fats and oils,2020-07-29,2020,Q3,7,29,Ghana,2020-07-29,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,720,730,No,-,-,2020-08-21,2020,Q3,8,21
Animal or vegetable fats and oils,2020-07-29,2020,Q3,7,29,Ghana,2020-07-29,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,720,730,No,-,-,2020-08-21,2020,Q3,8,21
Animal or vegetable fats and oils,2020-07-29,2020,Q3,7,29,Ghana,2020-07-29,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,720,730,No,-,-,2020-08-21,2020,Q3,8,21
Cereals,2020-07-07,2020,Q3,7,7,China,2020-07-05,10063092,Round grain,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,19890,20690,No,-,-,2020-07-16,2020,Q3,7,16
"Coffee, tea, mate and spices",2020-07-01,2020,Q3,7,1,China,2020-06-19,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,30000,30450,No,-,-,2020-07-02,2020,Q3,7,2
"Coffee, tea, mate and spices",2020-07-02,2020,Q3,7,2,China,2020-06-26,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,1773,3980,No,-,-,2020-07-02,2020,Q3,7,2
"Coffee, tea, mate and spices",2020-07-07,2020,Q3,7,7,India,2020-07-08,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,1250,1275,No,-,-,2020-07-08,2020,Q3,7,8
"Coffee, tea, mate and spices",2020-07-01,2020,Q3,7,1,Viet Nam,2020-06-25,9081200,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,12500,13160,No,-,-,2020-07-01,2020,Q3,7,1
"Coffee, tea, mate and spices",2020-07-01,2020,Q3,7,1,India,2020-07-05,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,8000,8080,No,-,-,2020-07-01,2020,Q3,7,1
