DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-06-01,2017,Q2,Jun,1,2017-06,-,TR,Felixstowe  P,TR,Turkey,GB,GB,8042090,Dried,100,1000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Felixstowe  P,IN,India,GB,GB,12074090,Other,600,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Felixstowe  P,IN,India,GB,GB,12074090,Other,200,5000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Salmonella spp.,satisfactory,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Felixstowe  P,IN,India,GB,GB,12074090,Other,80,2000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,TR,Felixstowe  P,TR,Turkey,GB,GB,8131000,Apricots,240,2880,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,TR,Felixstowe  P,TR,Turkey,GB,GB,8131000,Apricots,400,5000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,TR,Felixstowe  P,TR,Turkey,GB,GB,8131000,Apricots,320,4000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,TR,Felixstowe  P,TR,Turkey,GB,GB,8131000,Apricots,640,8000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,TR,Felixstowe  P,TR,Turkey,GB,GB,8131000,Apricots,8325,8158,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,TR,Felixstowe  P,TR,Turkey,GB,GB,8131000,Apricots,240,2880,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,TR,Felixstowe  P,TR,Turkey,GB,GB,8131000,Apricots,320,4000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,TR,Felixstowe  P,TR,Turkey,GB,GB,8131000,Apricots,160,2000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Felixstowe  P,IN,India,GB,GB,9042200,Crushed or ground,30,180,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,25080,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,25080,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,25080,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,25160,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,25060,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Felixstowe  P,IN,India,GB,GB,9042200,Crushed or ground,80,2000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Felixstowe  P,IN,India,GB,GB,9042200,Crushed or ground,920,23000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,2017-06,1
