DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-05-25,2018,Q2,May,25,2018-06,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,631,6966,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-05-25,2018,Q2,May,25,2018-06,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,631,6966,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-05-25,2018,Q2,May,25,2018-06,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,631,6966,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-06-01,2018,Q2,Jun,1,2018-06,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-06-01,2018,Q2,Jun,1,2018-06,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-06-01,2018,Q2,Jun,1,2018-06,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-06-04,2018,Q2,Jun,4,2018-06,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-06-04,2018,Q2,Jun,4,2018-06,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-06-04,2018,Q2,Jun,4,2018-06,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-06-05,2018,Q2,Jun,5,2018-06,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1003,11073,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-06-05,2018,Q2,Jun,5,2018-06,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1003,11073,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-06-05,2018,Q2,Jun,5,2018-06,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1003,11073,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-06-12,2018,Q2,Jun,12,2018-06,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-07,2018,Q2,Jun,7,2018-06,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",1680,10080,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-06-15,2018,Q2,Jun,15,2018-06,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",10,174,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-29,2018,Q2,May,29,2018-06,CN,Heathrow,GB,China,GB,GB,10063027,Of a length/width ratio equal to or greater than 3,1,200,Human consumption,Not satisfactory,-,Destruction,Satisfactory,/,no,-,-,-,-,Absence/Invalid certificate (if applicable),1
2018-05-30,2018,Q2,May,30,2018-06,CN,"Felixstowe, P",GB,China,GB,GB,10062096,Of a length/width ratio greater than 2|but less than 3,120,960,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-05-30,2018,Q2,May,30,2018-06,CN,"Felixstowe, P",GB,China,GB,GB,10063094,Medium grain,120,960,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-05-08,2018,Q2,May,8,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,579,14475,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-05-08,2018,Q2,May,8,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,120,3000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-05-10,2018,Q2,May,10,2018-06,CN,Stansted,GB,China,GB,GB,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,3,50,Human consumption,Satisfactory,-,-,Satisfactory,/,no,-,-,Human consumption,-,-,1
2018-05-15,2018,Q2,May,15,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,1600,9600,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-05-16,2018,Q2,May,16,2018-06,CN,"Felixstowe, P",GB,China,GB,GB,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",200,2400,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.RESIDUES OF PESTICIDES,Satisfactory,Human consumption,-,-,1
2018-05-21,2018,Q2,May,21,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),640,16000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-05-24,2018,Q2,May,24,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220019,Other,900,18000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-05-25,2018,Q2,May,25,2018-06,CN,"Felixstowe, P",GB,China,GB,GB,9022000,Other green tea (not fermented),60,1200,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.RESIDUES OF PESTICIDES,Satisfactory,Human consumption,-,-,1
2018-05-25,2018,Q2,May,25,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,660,16500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-05-25,2018,Q2,May,25,2018-06,IN,Liverpool,GB,India,GB,GB,904220090,Other,360,9000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-29,2018,Q2,May,29,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),400,6000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-29,2018,Q2,May,29,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),20,500,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-29,2018,Q2,May,29,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,60,130,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-29,2018,Q2,May,29,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,800,20000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-29,2018,Q2,May,29,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),580,14500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B1,Satisfactory,Human consumption,-,-,1
2018-05-29,2018,Q2,May,29,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),580,14500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B2,Satisfactory,Human consumption,-,-,1
2018-05-29,2018,Q2,May,29,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),580,14500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin G1,Satisfactory,Human consumption,-,-,1
2018-05-29,2018,Q2,May,29,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),580,14500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin G2,Satisfactory,Human consumption,-,-,1
2018-05-29,2018,Q2,May,29,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),580,14500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-05-30,2018,Q2,May,30,2018-06,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,526,10520,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
