Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Animal or vegetable fats and oils,2019-05-30,2019,Q2,5,30,2019-06-11,Ghana,2019-05-10,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,"Tilbury, P",1,15040
Other/Animal or vegetable fats and oils,2019-05-30,2019,Q2,5,30,2019-06-11,Ghana,2019-05-10,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,"Tilbury, P",1,15040
Other/Animal or vegetable fats and oils,2019-05-30,2019,Q2,5,30,2019-06-11,Ghana,2019-05-10,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,"Tilbury, P",1,15040
Other/Animal or vegetable fats and oils,2019-06-05,2019,Q2,6,5,2019-06-06,Ghana,2019-06-08,For import,15119011,In immediate packings of a net content not exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,17075
Other/Animal or vegetable fats and oils,2019-06-10,2019,Q2,6,10,2019-06-11,Ghana,2019-06-08,For import,15111090,Other than 1511 10 10,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,5868
Other/Animal or vegetable fats and oils,2019-06-13,2019,Q2,6,13,2019-06-25,Ghana,2019-06-14,For import,15119011,In immediate packings of a net content not exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,London Gateway,1,6723
Other/Animal or vegetable fats and oils,2019-06-13,2019,Q2,6,13,2019-06-25,Ghana,2019-06-14,For import,15119011,In immediate packings of a net content not exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,London Gateway,1,6723
Other/Animal or vegetable fats and oils,2019-06-13,2019,Q2,6,13,2019-06-25,Ghana,2019-06-14,For import,15119011,In immediate packings of a net content not exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,London Gateway,1,6723
Other/Animal or vegetable fats and oils,2019-06-13,2019,Q2,6,13,2019-06-27,Ghana,2019-05-31,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,"Tilbury, P",1,16000
Other/Animal or vegetable fats and oils,2019-06-13,2019,Q2,6,13,2019-06-27,Ghana,2019-05-31,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,"Tilbury, P",1,16000
