CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
Animal or vegetable fats and oils,2020-06-05,2020,Q2,6,5,Ghana,2020-06-12,15119011,In immediate packings of a net content not exceeding 1|kg,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,15706,16851,No,-,-,2020-06-25,2020,Q2,6,25
Animal or vegetable fats and oils,2020-06-05,2020,Q2,6,5,Ghana,2020-06-12,15119011,In immediate packings of a net content not exceeding 1|kg,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,15706,16851,No,-,-,2020-06-25,2020,Q2,6,25
Animal or vegetable fats and oils,2020-06-05,2020,Q2,6,5,Ghana,2020-06-12,15119011,In immediate packings of a net content not exceeding 1|kg,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,15706,16851,No,-,-,2020-06-25,2020,Q2,6,25
Animal or vegetable fats and oils,2020-06-05,2020,Q2,6,5,Ghana,2020-06-12,15119011,In immediate packings of a net content not exceeding 1|kg,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,15706,16851,No,-,-,2020-06-25,2020,Q2,6,25
Animal or vegetable fats and oils,2020-06-09,2020,Q2,6,9,Ghana,2020-06-13,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,15741,16902,No,-,-,2020-06-22,2020,Q2,6,22
Animal or vegetable fats and oils,2020-06-09,2020,Q2,6,9,Ghana,2020-06-13,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,15741,16902,No,-,-,2020-06-22,2020,Q2,6,22
Animal or vegetable fats and oils,2020-06-09,2020,Q2,6,9,Ghana,2020-06-13,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,15741,16902,No,-,-,2020-06-22,2020,Q2,6,22
Animal or vegetable fats and oils,2020-06-09,2020,Q2,6,9,Ghana,2020-06-13,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,15741,16902,No,-,-,2020-06-22,2020,Q2,6,22
Animal or vegetable fats and oils,2020-06-09,2020,Q2,6,9,Ghana,2020-06-13,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,16966,17120,No,-,-,2020-06-12,2020,Q2,6,12
Animal or vegetable fats and oils,2020-06-09,2020,Q2,6,9,Ghana,2020-06-13,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,16128,17120,No,-,-,2020-06-11,2020,Q2,6,11
Animal or vegetable fats and oils,2020-06-10,2020,Q2,6,10,Ghana,2020-06-10,15111090,Other than 1511 10 10,Yes,Satisfactory,No,-,No,-,No,-,219,828,No,-,-,2020-06-10,2020,Q2,6,10
Animal or vegetable fats and oils,2020-06-16,2020,Q2,6,16,Ghana,2020-06-19,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,11029,11788,No,-,-,2020-06-25,2020,Q2,6,25
Animal or vegetable fats and oils,2020-06-16,2020,Q2,6,16,Ghana,2020-06-19,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,11029,11788,No,-,-,2020-06-25,2020,Q2,6,25
Animal or vegetable fats and oils,2020-06-16,2020,Q2,6,16,Ghana,2020-06-19,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,11029,11788,No,-,-,2020-06-25,2020,Q2,6,25
Animal or vegetable fats and oils,2020-06-16,2020,Q2,6,16,Ghana,2020-06-19,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,11029,11788,No,-,-,2020-06-25,2020,Q2,6,25
Animal or vegetable fats and oils,2020-06-18,2020,Q2,6,18,Ghana,2020-06-21,15111090,Other than 1511 10 10,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,3672,3825,No,-,-,2020-06-26,2020,Q2,6,26
Animal or vegetable fats and oils,2020-06-24,2020,Q2,6,24,Ghana,2020-06-22,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,16416,17120,No,-,-,2020-06-26,2020,Q2,6,26
