DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-03-01,2017,Q1,Mar,1,2017-03,-,IN,Felixstowe P,IN,India,GB,GB,09042200,Crushed or ground,110,2750,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Human consumption,-,-,2017-03,1
2017-03-01,2017,Q1,Mar,1,2017-03,-,IN,Felixstowe P,IN,India,GB,GB,09042200,Crushed or ground,110,2750,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B2,satisfactory,Human consumption,-,-,2017-03,1
2017-03-01,2017,Q1,Mar,1,2017-03,-,IN,Felixstowe P,IN,India,GB,GB,09042200,Crushed or ground,110,2750,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin G1,satisfactory,Human consumption,-,-,2017-03,1
2017-03-01,2017,Q1,Mar,1,2017-03,-,IN,Felixstowe P,IN,India,GB,GB,09042200,Crushed or ground,110,2750,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin G2,satisfactory,Human consumption,-,-,2017-03,1
2017-03-01,2017,Q1,Mar,1,2017-03,-,IN,Felixstowe P,IN,India,GB,GB,09042200,Crushed or ground,110,2750,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,2017-03,1
2017-03-01,2017,Q1,Mar,1,2017-03,-,BR,London Gateway,BR,Brazil,GB,GB,20081999,Other,10,144,Human consumption,Not Satisfactory,no,2. Destruction,Not Done,Not Done,No,-,-,-,destruction,1. Absence/Invalid certificate (if applicable),2017-03,1
2017-03-01,2017,Q1,Mar,1,2017-03,-,TR,Felixstowe P,TR,Turkey,GB,GB,08131000,Apricots,500,750,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-03,1
2017-03-01,2017,Q1,Mar,1,2017-03,-,DO,Gatwick,DO,Dominican Republic,GB,GB,07096099,Other,358,1342,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-03,1
2017-03-01,2017,Q1,Mar,1,2017-03,-,KE,Stansted,KE,Kenya,GB,GB,07081000,Peas (Pisum sativum),2,60,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-03,1
2017-03-01,2017,Q1,Mar,1,2017-03,-,EG,Heathrow,EG,Egypt,GB,GB,07096099,Other,98,382.2,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-03,1
