DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-02-22,2018,Q1,Feb,22,2018-03,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1460,17509,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-02-22,2018,Q1,Feb,22,2018-03,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1460,17509,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-02-22,2018,Q1,Feb,22,2018-03,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1460,17509,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-03-06,2018,Q1,Mar,6,2018-03,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,794,9629,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-03-14,2018,Q1,Mar,14,2018-03,GH,"Tilbury, P",GB,Ghana,GB,GB,15119099,Other,130,1622,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-03-22,2018,Q1,Mar,22,2018-03,GH,"Southampton, P",GB,Ghana,GB,GB,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified",996,22500,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-03-05,2018,Q1,Mar,5,2018-03,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",2799,16794,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-03-12,2018,Q1,Mar,12,2018-03,JP,"Felixstowe, P",GB,Japan,GB,GB,22021000,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured",4,96,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-03-20,2018,Q1,Mar,20,2018-03,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",20,216,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-03-28,2018,Q1,Mar,28,2018-03,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",1679,10074,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
