"DeclarationDate","YearofDeclaration","QuarterofDeclaration","MonthofDeclaration","DayofDeclaration","DecisionControlDate(Month)","ConsignorCountryCode","DPEName","ConsigneeCountry","CountryOfOrigin","ImporterCountry","DeliveryCountry","CommodityCode","Descriptionofcommodity","Totalnumberofpackages","TotalNetWeight(kg)","Commodityintendedfor","DocumentaryCheck","Acceptablefortransfer","NotAcceptable1 ","IdentityCheck","PhysicalCheck","LaboratoryTests","TestedFor:","Results:","Acceptableforreleaseforfree circulation ","NotAcceptable2","ReasonforRefusal","NoOfConsignments"
"2019-03-08","2019","Q1","Mar","8","2019-03","TR","Felixstowe, P","GB","Turkey","GB","TR","15159051","Solid, in immediate packings of a net content not exceeding 1|kg","1134","20570","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","1"
"2019-03-12","2019","Q1","Mar","12","2019-03","GH","London Gateway","GB","Ghana","GB","GH","15119011","In immediate packings of a net content not exceeding 1|kg","921","10816","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","1"
"2019-03-28","2019","Q1","Mar","28","2019-03","TR","Felixstowe, P","GB","Turkey","GB","TR","15159099","Solid, other; fluid","375","6825","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","1"
"2019-03-05","2019","Q1","Mar","5","2019-03","JP","Felixstowe, P","GB","Japan","GB","JP","22029911","Soya-based beverages with a protein content of 2,8 % or more by weight","11","185","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","1"
"2019-03-19","2019","Q1","Mar","19","2019-03","JP","Southampton, P","GB","Japan","GB","JP","22029911","Soya-based beverages with a protein content of 2,8 % or more by weight","64","307","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","1"
"2019-02-28","2019","Q1","Feb","28","2019-03","JP","Felixstowe, P","GB","Japan","GB","JP","21039090","Other","405","8100","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","1"
"2019-03-01","2019","Q1","Mar","1","2019-03","JP","Felixstowe, P","GB","Japan","GB","JP","21039090","Other","420","8400","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","1"
"2019-03-01","2019","Q1","Mar","1","2019-03","JP","Southampton, P","GB","Japan","GB","JP","21039090","Other","4","1920","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","1"
"2019-03-01","2019","Q1","Mar","1","2019-03","JP","Southampton, P","GB","Japan","GB","JP","21031000","Soya sauce","30","149","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","1"
"2019-03-04","2019","Q1","Mar","4","2019-03","JP","Southampton, P","GB","Japan","GB","JP","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","5","4","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","1"
"2019-03-04","2019","Q1","Mar","4","2019-03","JP","Southampton, P","GB","Japan","GB","JP","21039090","Other","70","700","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","1"
"2019-03-04","2019","Q1","Mar","4","2019-03","JP","Southampton, P","GB","Japan","GB","JP","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","6","40","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","1"
