DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-05-01,2017,Q2,May,1,2017-05,-,EG,Heathrow,EG,Egypt,GB,GB,07096099,Other,60,540,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-01,2017,Q2,May,1,2017-05,-,EG,Heathrow,EG,Egypt,GB,GB,07096099,Other,318,1272,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-01,2017,Q2,May,1,2017-05,-,EG,Heathrow,EG,Egypt,IE,IE,07096099,Other,90,450,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-01,2017,Q2,May,1,2017-05,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,833,2601,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-01,2017,Q2,May,1,2017-05,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,585,2565,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-01,2017,Q2,May,1,2017-05,-,EG,Heathrow,EG,Egypt,GB,GB,07096099,Other,136,670,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-01,2017,Q2,May,1,2017-05,-,TR,Felixstowe P,TR,Turkey,GB,GB,08042090,Dried,4508,11901,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-01,2017,Q2,May,1,2017-05,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,325,1300,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-01,2017,Q2,May,1,2017-05,-,IN,Heathrow,IN,India,GB,GB,07099990,Other,785,2655,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,No,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,LK,Southampton P,CN,China,GB,GB,09021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,72,864,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,TR,Felixstowe P,TR,Turkey,GB,GB,08131000,Apricots,800,10000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,sulphites,satisfactory,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,EG,Heathrow,EG,Egypt,GB,GB,07096099,Other,40,360,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,No,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,IN,Felixstowe P,IN,India,GB,GB,09042200,Crushed or ground,1000,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,IN,Felixstowe P,IN,India,GB,GB,09042200,Crushed or ground,125,3125,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,IN,Felixstowe P,IN,India,GB,GB,09042200,Crushed or ground,90,1800,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,IN,Felixstowe P,IN,India,GB,GB,09042200,Crushed or ground,145,2900,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,IN,Felixstowe P,IN,India,GB,GB,09042200,Crushed or ground,175,4375,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,IN,Felixstowe P,IN,India,GB,GB,09042200,Crushed or ground,330,6600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,IN,Heathrow,IN,India,GB,GB,14049000,Other,160,640,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,IN,Heathrow,IN,India,GB,GB,14049000,Other,150,600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,CN,Felixstowe P,CN,China,GB,GB,12024200,Shelled whether or not broken,760,19000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,CN,Felixstowe P,CN,China,GB,GB,12024200,Shelled whether or not broken,760,19000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24800,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24660,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24660,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24800,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24380,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24740,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24760,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24700,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,AR,London Gateway,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24680,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,IN,Felixstowe P,IN,India,GB,GB,09042200,Crushed or ground,304,7600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
2017-05-02,2017,Q2,May,2,2017-05,-,IN,Felixstowe P,IN,India,GB,GB,09042200,Crushed or ground,135,2691,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-05,1
