DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-04-25,2018,Q2,Apr,25,2018-05,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1561,17233,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-04-25,2018,Q2,Apr,25,2018-05,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1561,17233,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-04-25,2018,Q2,Apr,25,2018-05,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1561,17233,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-05-18,2018,Q2,May,18,2018-05,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-21,2018,Q2,May,21,2018-05,GH,"Tilbury, P",GB,Ghana,GB,GB,15111090,Other than 1511 10 10,692,17400,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-05-21,2018,Q2,May,21,2018-05,GH,"Tilbury, P",GB,Ghana,GB,GB,15111090,Other than 1511 10 10,692,17400,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-05-21,2018,Q2,May,21,2018-05,GH,"Tilbury, P",GB,Ghana,GB,GB,15111090,Other than 1511 10 10,692,17400,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-05-30,2018,Q2,May,30,2018-05,GH,London Gateway,GB,Ghana,GB,GB,15111090,Other than 1511 10 10,10,163,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-30,2018,Q2,Apr,30,2018-05,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",1680,10080,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-21,2018,Q2,May,21,2018-05,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",5,120,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-25,2018,Q2,May,25,2018-05,JP,"Southampton, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",6,144,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,-,-,Human consumption,-,-,1
2018-04-11,2018,Q2,Apr,11,2018-05,CN,"Felixstowe, P",GB,China,GB,GB,9022000,Other green tea (not fermented),48,1295,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.RESIDUES OF PESTICIDES,Satisfactory,Human consumption,-,-,1
2018-04-12,2018,Q2,Apr,12,2018-05,CN,Stansted,GB,China,GB,GB,9022000,Other green tea (not fermented),1,10,Human consumption,Not satisfactory,-,Destruction,Not satisfactory,Not satisfactory,no,-,-,-,-,ID: Mis-match with documents,1
2018-04-17,2018,Q2,Apr,17,2018-05,IN,London Gateway,GB,India,GB,GB,904220090,Other,50,350,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.MYCOTOXINS,Satisfactory,Human consumption,-,-,1
2018-04-19,2018,Q2,Apr,19,2018-05,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,126,1890,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-19,2018,Q2,Apr,19,2018-05,CN,"Felixstowe, P",GB,China,GB,GB,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,40,115,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-19,2018,Q2,Apr,19,2018-05,CN,"Felixstowe, P",GB,China,GB,GB,9022000,Other green tea (not fermented),750,3606,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-19,2018,Q2,Apr,19,2018-05,CN,"Felixstowe, P",GB,China,GB,GB,9024000,Other black tea (fermented) and other partly fermented tea,110,357,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-20,2018,Q2,Apr,20,2018-05,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,120,3000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-04-23,2018,Q2,Apr,23,2018-05,CN,River Tees Port Health Authority (Teesport) (CED),GB,China,GB,GB,9022000,Other green tea (not fermented),70,3184,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-23,2018,Q2,Apr,23,2018-05,CN,River Tees Port Health Authority (Teesport) (CED),GB,China,GB,GB,9024000,Other black tea (fermented) and other partly fermented tea,113,4480,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-23,2018,Q2,Apr,23,2018-05,IN,"Felixstowe, P",GB,India,GB,GB,904220019,Other,1000,25000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-04-24,2018,Q2,Apr,24,2018-05,IN,"Felixstowe, P",GB,India,GB,GB,904220019,Other,750,15000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-04-25,2018,Q2,Apr,25,2018-05,AU,London Gateway,GB,China,GB,GB,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,5,16,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.RESIDUES OF PESTICIDES,Satisfactory,Human consumption,-,-,1
2018-04-26,2018,Q2,Apr,26,2018-05,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,21,252,Human consumption,Not satisfactory,-,Destruction,Satisfactory,/,no,-,-,-,-,-,1
2018-04-30,2018,Q2,Apr,30,2018-05,CN,Stansted,GB,China,GB,GB,9022000,Other green tea (not fermented),2,30,Human consumption,Not satisfactory,-,Destruction,Not satisfactory,Not satisfactory,no,-,-,-,-,ID: Mis-match with documents,1
2018-04-30,2018,Q2,Apr,30,2018-05,CN,Heathrow,GB,China,GB,GB,9022000,Other green tea (not fermented),12,300,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-02,2018,Q2,May,2,2018-05,CN,"Felixstowe, P",GB,China,GB,GB,9022000,Other green tea (not fermented),30,580,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-02,2018,Q2,May,2,2018-05,CN,"Felixstowe, P",GB,China,GB,GB,9024000,Other black tea (fermented) and other partly fermented tea,26,510,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-02,2018,Q2,May,2,2018-05,CN,Port of Tyne (CED),GB,China,GB,GB,9022000,Other green tea (not fermented),240,12000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-02,2018,Q2,May,2,2018-05,CN,"Felixstowe, P",GB,China,GB,GB,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",13,195,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-03,2018,Q2,May,3,2018-05,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,3000,6000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-03,2018,Q2,May,3,2018-05,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,1997,7988,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
