"Commoditygroups","DeclarationDate","YearofDeclaration","QuarterofDeclaration","MonthofDeclaration","DayofDeclaration","DecisionControlDateMonth","CountryofOrigin","ArrivalatDPE","Forimport","CommodityCode","Descriptionofcommodity","Producttemperature","Commodityintendedfor","Documentarycheck","AcceptableforTransfer","NotAcceptable","IdentityCheck","PhysicalCheck","LaboratoryTests","TestedFor","Results","Acceptableforreleaseforfreecirculation","NotAcceptable2","ReasonforRefusal","DPEName","NoOfConsignments","NetWeightKg"
"Other/Animal or vegetable fats and oils","17/04/2019","2019","Q2","4","17","09/05/2019","Ghana","20/04/2019","For import","15119011","In immediate packings of a net content not exceeding 1|kg","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Scarlet Red; or Sudan IV (CAS number 85-83-6)","Satisfactory","Human consumption","-","-","London Gateway","1","11339"
"Other/Animal or vegetable fats and oils","17/04/2019","2019","Q2","4","17","09/05/2019","Ghana","20/04/2019","For import","15119011","In immediate packings of a net content not exceeding 1|kg","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan I (CAS number 842-07-9)","Satisfactory","Human consumption","-","-","London Gateway","1","11339"
"Other/Animal or vegetable fats and oils","17/04/2019","2019","Q2","4","17","09/05/2019","Ghana","20/04/2019","For import","15119011","In immediate packings of a net content not exceeding 1|kg","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan II (CAS number 3118-97-6)","Satisfactory","Human consumption","-","-","London Gateway","1","11339"
"Other/Animal or vegetable fats and oils","17/04/2019","2019","Q2","4","17","09/05/2019","Ghana","20/04/2019","For import","15119011","In immediate packings of a net content not exceeding 1|kg","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan III (CAS number 85-86-9)","Satisfactory","Human consumption","-","-","London Gateway","1","11339"
"Other/Animal or vegetable fats and oils","25/04/2019","2019","Q2","4","25","10/05/2019","Ghana","20/04/2019","For import","15119011","In immediate packings of a net content not exceeding 1|kg","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan I (CAS number 842-07-9)","Satisfactory","Human consumption","-","-","London Gateway","1","11468"
"Other/Animal or vegetable fats and oils","30/04/2019","2019","Q2","4","30","04/05/2019","Ghana","30/04/2019","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","8850"
"Other/Animal or vegetable fats and oils","09/05/2019","2019","Q2","5","9","10/05/2019","Ghana","26/04/2019","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Tilbury, P","1","16608"
"Other/Animal or vegetable fats and oils","10/05/2019","2019","Q2","5","10","21/05/2019","Ghana","26/04/2019","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan I (CAS number 842-07-9)","Satisfactory","Human consumption","-","-","Tilbury, P","1","17208"
"Other/Animal or vegetable fats and oils","10/05/2019","2019","Q2","5","10","21/05/2019","Ghana","12/05/2019","For import","15119011","In immediate packings of a net content not exceeding 1|kg","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Sudan I (CAS number 842-07-9)","Satisfactory","Human consumption","-","-","London Gateway","1","10858"
"Other/Animal or vegetable fats and oils","13/05/2019","2019","Q2","5","13","13/05/2019","Ghana","12/05/2019","For import","15119011","In immediate packings of a net content not exceeding 1|kg","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","London Gateway","1","11036"
"Other/Animal or vegetable fats and oils","14/05/2019","2019","Q2","5","14","14/05/2019","Ghana","10/05/2019","For import","1511901990","Other","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Tilbury, P","1","4511"
"Other/Animal or vegetable fats and oils","29/05/2019","2019","Q2","5","29","31/05/2019","Ghana","01/06/2019","For import","15119011","In immediate packings of a net content not exceeding 1|kg","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","London Gateway","1","15469"
"Other/Animal or vegetable fats and oils","30/05/2019","2019","Q2","5","30","31/05/2019","Ghana","25/05/2019","For import","15119099","Other","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Tilbury, P","1","15040"
"Other/Beverages, spirits and vinegar","01/05/2019","2019","Q2","5","1","03/05/2019","Japan","01/05/2019","For import","22029911","Soya-based beverages with a protein content of 2,8 % or more by weight","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","254"
"Other/Beverages, spirits and vinegar","03/05/2019","2019","Q2","5","3","15/05/2019","Japan","11/05/2019","For import","22029911","Soya-based beverages with a protein content of 2,8 % or more by weight","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","-","-","Human consumption","-","-","Southampton, P","1","403"
"Other/Miscellaneous edible preparations","29/04/2019","2019","Q2","4","29","09/05/2019","Japan","15/05/2019","For import","21039090","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","720"
"Other/Miscellaneous edible preparations","29/04/2019","2019","Q2","4","29","09/05/2019","Japan","15/05/2019","For import","21069098","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","28"
"Other/Miscellaneous edible preparations","01/05/2019","2019","Q2","5","1","03/05/2019","Japan","01/05/2019","For import","21031000","Soya sauce","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","1264"
"Other/Miscellaneous edible preparations","01/05/2019","2019","Q2","5","1","03/05/2019","Japan","01/05/2019","For import","21041000","Soups and broths and preparations therefor","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","407"
"Other/Miscellaneous edible preparations","01/05/2019","2019","Q2","5","1","07/05/2019","Japan","05/05/2019","For import","21061020","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","15"
"Other/Miscellaneous edible preparations","03/05/2019","2019","Q2","5","3","09/05/2019","Japan","11/05/2019","For import","21061020","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","13954"
"Other/Miscellaneous edible preparations","03/05/2019","2019","Q2","5","3","09/05/2019","Japan","11/05/2019","For import","21039010","Mango chutney, liquid","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","243"
"Other/Miscellaneous edible preparations","03/05/2019","2019","Q2","5","3","09/05/2019","Japan","11/05/2019","For import","21031000","Soya sauce","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","24"
