CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
Animal or vegetable fats and oils,2020-05-15,2020,Q2,5,15,Ghana,2020-05-13,15119011,In immediate packings of a net content not exceeding 1|kg,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,8037,8658,No,-,-,2020-05-27,2020,Q2,5,27
Animal or vegetable fats and oils,2020-05-15,2020,Q2,5,15,Ghana,2020-05-13,15119011,In immediate packings of a net content not exceeding 1|kg,Yes,Satisfactory,No,-,No,-,No,-,6843,7440,No,-,-,2020-05-15,2020,Q2,5,15
Animal or vegetable fats and oils,2020-05-29,2020,Q2,5,29,Ghana,2020-04-24,15119011,In immediate packings of a net content not exceeding 1|kg,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,12171,13464,No,-,-,2020-06-09,2020,Q2,6,9
Cocoa,2020-05-31,2020,Q2,5,31,Turkey,2020-06-04,18069019,Other,No,-,No,-,No,-,No,-,1002,1109,No,-,-,,2020,Q2,5,
"Coffee, tea, mate and spices",2020-05-15,2020,Q2,5,15,India,2020-04-11,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,1000,1003,No,-,-,2020-06-04,2020,Q2,6,4
"Coffee, tea, mate and spices",2020-05-04,2020,Q2,5,4,India,2020-04-23,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,975,983,No,-,-,2020-05-06,2020,Q2,5,6
"Coffee, tea, mate and spices",2020-05-01,2020,Q2,5,1,China,2020-04-29,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,28,32,No,-,-,2020-05-04,2020,Q2,5,4
"Coffee, tea, mate and spices",2020-05-01,2020,Q2,5,1,China,2020-04-29,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,486,542,No,-,-,2020-05-04,2020,Q2,5,4
"Coffee, tea, mate and spices",2020-05-01,2020,Q2,5,1,China,2020-04-29,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,128,133,No,-,-,2020-05-04,2020,Q2,5,4
"Coffee, tea, mate and spices",2020-05-04,2020,Q2,5,4,China,2020-05-02,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,16032,16283,No,-,-,2020-05-06,2020,Q2,5,6
