DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_KG,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation ,NotAcceptable2,ReasonForRefusal,NoOfConsignments
2017-08-21,2017,Q3,Aug,21,2017-11,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25060,Feedingstuff,Satisfactory,no,3. Transformation,Satisfactory,Not Satisfactory,Yes,Aflatoxin B1,notsatisfactory,-,transformation,4. Chemical contamination,1
2017-10-04,2017,Q4,Oct,4,2017-11,CN,Liverpool,CN,China,GB,GB,9022000,Other green tea (not fermented),400,21800,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,1
2017-10-04,2017,Q4,Oct,4,2017-11,JP,"Southampton, P",JP,Japan,GB,GB,19059055,"Extruded or expanded products, savoury or salted",39,58.04,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-10-09,2017,Q4,Oct,9,2017-11,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",800,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-10-12,2017,Q4,Oct,12,2017-11,IN,"Felixstowe, P",IN,India,GB,GB,904220090,Other,600,15000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-10-12,2017,Q4,Oct,12,2017-11,CN,"Felixstowe, P",CN,China,NL,GB,12024200,"Shelled, whether or not broken",780,19500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-10-12,2017,Q4,Oct,12,2017-11,CN,"Felixstowe, P",CN,China,NL,GB,12024200,"Shelled, whether or not broken",780,19500,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-10-16,2017,Q4,Oct,16,2017-11,CN,Port of Tyne (CED),CN,China,GB,GB,9022000,Other green tea (not fermented),400,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Acetamiprid (nicotinoid insecticides ),satisfactory,Human consumption,-,-,1
2017-10-16,2017,Q4,Oct,16,2017-11,CN,Port of Tyne (CED),CN,China,GB,GB,9022000,Other green tea (not fermented),400,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Anthraquinone,satisfactory,Human consumption,-,-,1
2017-10-16,2017,Q4,Oct,16,2017-11,CN,Port of Tyne (CED),CN,China,GB,GB,9022000,Other green tea (not fermented),400,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Bifenthrin,satisfactory,Human consumption,-,-,1
2017-10-16,2017,Q4,Oct,16,2017-11,CN,Port of Tyne (CED),CN,China,GB,GB,9022000,Other green tea (not fermented),400,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Carbendazim (mecarzole),satisfactory,Human consumption,-,-,1
2017-10-16,2017,Q4,Oct,16,2017-11,CN,Port of Tyne (CED),CN,China,GB,GB,9022000,Other green tea (not fermented),400,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Chlorfenapyr (halogenated pyrroles.),satisfactory,Human consumption,-,-,1
