DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-10-16,2018,Q4,Oct,16,2018-11,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1049,11581,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-10-16,2018,Q4,Oct,16,2018-11,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1049,11581,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-10-16,2018,Q4,Oct,16,2018-11,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1049,11581,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-10-30,2018,Q4,Oct,30,2018-11,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-10-30,2018,Q4,Oct,30,2018-11,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-10-30,2018,Q4,Oct,30,2018-11,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-11-15,2018,Q4,Nov,15,2018-11,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",11,224,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-11-22,2018,Q4,Nov,22,2018-11,JP,"Southampton, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",18,86,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-15,2018,Q4,Oct,15,2018-11,JP,"Felixstowe, P",GB,Japan,GB,GB,21039090,Other,320,6400,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,1
2018-10-15,2018,Q4,Oct,15,2018-11,JP,"Felixstowe, P",GB,Japan,GB,GB,21039090,Other,320,6400,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-137,Satisfactory,Human consumption,-,-,1
2018-10-15,2018,Q4,Oct,15,2018-11,JP,"Felixstowe, P",GB,Japan,GB,GB,21069098,Other,150,189,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,-,-,Human consumption,-,-,1
