Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Animal or vegetable fats and oils,2018-10-16,2018,Q4,10,16,2018-11-02,Ghana,2018-10-20,For import,15119011,In immediate packings of a net content not exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,London Gateway,1,11581
Other/Animal or vegetable fats and oils,2018-10-16,2018,Q4,10,16,2018-11-02,Ghana,2018-10-20,For import,15119011,In immediate packings of a net content not exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,London Gateway,1,11581
Other/Animal or vegetable fats and oils,2018-10-16,2018,Q4,10,16,2018-11-02,Ghana,2018-10-20,For import,15119011,In immediate packings of a net content not exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,London Gateway,1,11581
Other/Animal or vegetable fats and oils,2018-10-30,2018,Q4,10,30,2018-11-12,Ghana,2018-10-17,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,"Felixstowe, P",1,13072
Other/Animal or vegetable fats and oils,2018-10-30,2018,Q4,10,30,2018-11-12,Ghana,2018-10-17,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,"Felixstowe, P",1,13072
Other/Animal or vegetable fats and oils,2018-10-30,2018,Q4,10,30,2018-11-12,Ghana,2018-10-17,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,"Felixstowe, P",1,13072
"Other/Beverages, spirits and vinegar",2018-11-15,2018,Q4,11,15,2018-11-15,Japan,2018-11-15,For import,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,224
"Other/Beverages, spirits and vinegar",2018-11-22,2018,Q4,11,22,2018-11-26,Japan,2018-11-25,For import,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,86
Other/Miscellaneous edible preparations,2018-10-15,2018,Q4,10,15,2018-11-12,Japan,2018-10-19,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,6400
Other/Miscellaneous edible preparations,2018-10-15,2018,Q4,10,15,2018-11-12,Japan,2018-10-19,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-137,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,6400
Other/Miscellaneous edible preparations,2018-10-15,2018,Q4,10,15,2018-11-12,Japan,2018-10-19,For import,21069098,Other,Frozen,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,-,-,Human consumption,-,-,"Felixstowe, P",1,189
Other/Miscellaneous edible preparations,2018-10-25,2018,Q4,10,25,2018-11-02,Japan,2018-10-28,For import,21039090,Other,Chilled,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Radionuclides,Satisfactory,Human consumption,-,-,"Southampton, P",1,13810
Other/Miscellaneous edible preparations,2018-10-29,2018,Q4,10,29,2018-11-12,Japan,2018-10-28,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,810
Other/Miscellaneous edible preparations,2018-10-29,2018,Q4,10,29,2018-11-12,Japan,2018-10-28,For import,21039090,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,68
Other/Miscellaneous edible preparations,2018-10-29,2018,Q4,10,29,2018-11-12,Japan,2018-10-28,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,36
Other/Miscellaneous edible preparations,2018-10-30,2018,Q4,10,30,2018-11-01,Japan,2018-10-31,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,4400
