CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
Animal feed,2020-11-02,2020,Q4,11,2,India,2020-11-02,23091019,Containing not less than 75 % by weight of milk products,No,-,No,-,No,-,No,-,5000,5575,No,-,-,,2020,Q4,11,2
Animal feed,2020-11-11,2020,Q4,11,11,India,2020-11-04,23091019,Containing not less than 75 % by weight of milk products,No,-,No,-,No,-,No,-,9000,9918,No,-,-,,2020,Q4,11,11
Animal or vegetable fats and oils,2020-11-12,2020,Q4,11,12,Ghana,2020-11-03,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,13942,14660,No,-,-,2020-11-12,2020,Q4,11,12
Animal or vegetable fats and oils,2020-11-12,2020,Q4,11,12,Ghana,2020-10-17,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,17952,19340,No,-,-,2020-11-12,2020,Q4,11,12
Animal or vegetable fats and oils,2020-11-12,2020,Q4,11,12,Ghana,2020-10-27,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,16932,17960,No,-,-,2020-11-12,2020,Q4,11,12
Animal or vegetable fats and oils,2020-11-16,2020,Q4,11,16,Ghana,2020-11-13,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,16931,17773,No,-,-,2020-11-16,2020,Q4,11,16
Animal or vegetable fats and oils,2020-11-24,2020,Q4,11,24,Ghana,2020-11-22,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,2884,2884,No,-,-,2020-11-25,2020,Q4,11,25
Animal or vegetable fats and oils,2020-11-27,2020,Q4,11,27,Ghana,2020-11-28,15111090,Other than 1511 10 10,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,2880,2935,No,-,-,2020-12-03,2020,Q4,12,3
Animal or vegetable fats and oils,2020-11-27,2020,Q4,11,27,Ghana,2020-11-28,15111090,Other than 1511 10 10,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,2880,2935,No,-,-,2020-12-03,2020,Q4,12,3
Cereals,2020-11-12,2020,Q4,11,12,China,2020-11-05,10063098,Of a length/width ratio equal to or greater than 3,Yes,Not satisfactory,No,-,No,-,No,-,123,131,Yes,Destruction,Absence of original certificate,2020-11-12,2020,Q4,11,12
Cocoa,2020-11-13,2020,Q4,11,13,Turkey,2020-11-18,18069039,Not filled,No,-,No,-,No,-,No,-,2880,15125,No,-,-,,2020,Q4,11,13
Cocoa,2020-11-16,2020,Q4,11,16,Turkey,2020-11-18,18069050,"Sugar confectionery and substitutes therefor made from sugar substitution products, containing cocoa",No,-,No,-,No,-,No,-,58,172,No,-,-,,2020,Q4,11,16
Cocoa,2020-11-25,2020,Q4,11,25,Turkey,2020-11-30,18063210,"With added cereal, fruit or nuts",Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,2534,2880,No,-,-,2020-12-07,2020,Q4,12,7
