DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-09-20,2018,Q3,Sept,20,2018-10,GH,"Tilbury, P",GB,Ghana,GB,GB,15111090,Other than 1511 10 10,1000,25000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-02,2018,Q4,Oct,2,2018-10,GH,"Tilbury, P",GB,Ghana,GB,GB,15119099,Other,100,1920,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-04,2018,Q4,Oct,4,2018-10,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,551,7036,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-10-04,2018,Q4,Oct,4,2018-10,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,551,7036,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-10-04,2018,Q4,Oct,4,2018-10,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,551,7036,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-10-08,2018,Q4,Oct,8,2018-10,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1415,15112,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-08,2018,Q4,Oct,8,2018-10,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-10-08,2018,Q4,Oct,8,2018-10,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-10-08,2018,Q4,Oct,8,2018-10,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-10-12,2018,Q4,Oct,12,2018-10,GH,"Tilbury, P",GB,Ghana,GB,GB,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified",92,1840,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
