Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Animal or vegetable fats and oils,2019-09-09,2019,Q3,9,9,2019-10-16,Ghana,2019-09-13,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Scarlet Red; or Sudan IV (CAS number 85-83-6),Not satisfactory,-,Destruction,"Other, create RASFF notification",London Gateway,1,5355
Other/Animal or vegetable fats and oils,2019-09-09,2019,Q3,9,9,2019-10-16,Ghana,2019-09-13,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,-,Destruction,"Other, create RASFF notification",London Gateway,1,5355
Other/Animal or vegetable fats and oils,2019-09-09,2019,Q3,9,9,2019-10-16,Ghana,2019-09-13,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,-,Destruction,"Other, create RASFF notification",London Gateway,1,5355
Other/Animal or vegetable fats and oils,2019-09-09,2019,Q3,9,9,2019-10-16,Ghana,2019-09-13,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,-,Destruction,"Other, create RASFF notification",London Gateway,1,5355
Other/Animal or vegetable fats and oils,2019-09-30,2019,Q3,9,30,2019-10-09,Ghana,2019-09-29,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.DYES,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,7496
Other/Animal or vegetable fats and oils,2019-10-10,2019,Q4,10,10,2019-10-15,Ghana,2019-10-13,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,6509
Other/Animal or vegetable fats and oils,2019-10-18,2019,Q4,10,18,2019-10-25,Ghana,2019-10-15,For import,15111090,Other than 1511 10 10,Ambient,Human consumption,Not satisfactory,-,-,Not satisfactory,/,no,-,-,-,-,-, ,1,45
Other/Animal or vegetable fats and oils,2019-10-29,2019,Q4,10,29,2019-10-29,Ghana,2019-10-26,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,112
"Other/Beverages, spirits and vinegar",2019-10-07,2019,Q4,10,7,2019-10-14,Japan,2019-10-12,For import,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,20097
"Other/Beverages, spirits and vinegar",2019-10-14,2019,Q4,10,14,2019-10-18,Japan,2019-10-19,For import,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,13428
