CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
Animal or vegetable fats and oils,2020-10-05,2020,Q4,10,5,Ghana,2020-10-06,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,11439,12062,No,-,-,2020-10-24,2020,Q4,10,43
Animal or vegetable fats and oils,2020-10-07,2020,Q4,10,7,Ghana,2020-10-07,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,220,942,No,-,-,2020-10-12,2020,Q4,10,42
Animal or vegetable fats and oils,2020-10-19,2020,Q4,10,19,Ghana,2020-10-12,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,1196,1226,No,-,-,2020-10-21,2020,Q4,10,43
Animal or vegetable fats and oils,2020-10-13,2020,Q4,10,13,Ghana,2020-10-10,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,2880,3120,No,-,-,2020-10-19,2020,Q4,10,43
Animal or vegetable fats and oils,2020-10-13,2020,Q4,10,13,Ghana,2020-10-10,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,16860,18260,No,-,-,2020-10-19,2020,Q4,10,43
Animal or vegetable fats and oils,2020-10-13,2020,Q4,10,13,Ghana,2020-10-10,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,15684,16772,No,-,-,2020-10-24,2020,Q4,10,43
Animal or vegetable fats and oils,2020-10-16,2020,Q4,10,16,Ghana,2020-10-15,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,11066,11696,No,-,-,2020-10-17,2020,Q4,10,42
Animal or vegetable fats and oils,2020-10-19,2020,Q4,10,19,Ghana,2020-10-18,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,185,822,No,-,-,2020-10-23,2020,Q4,10,43
Animal or vegetable fats and oils,2020-10-29,2020,Q4,10,29,Ghana,2020-11-03,15119099,Other,No,-,No,-,No,-,No,-,13942,14660,No,-,-,,2020,Q4,10,
Animal or vegetable fats and oils,2020-10-23,2020,Q4,10,23,Ghana,2020-10-24,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,180,1,No,-,-,2020-10-24,2020,Q4,10,43
