DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-09-01,2017,Q3,Sep,1,2017-09,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),2,96,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,1600,20000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,DO,Gatwick,DO,Dominican Republic,GB,GB,7082000,"Beans (Vigna spp., Phaseolus spp.)",110,550,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,DO,Gatwick,DO,Dominican Republic,GB,GB,7096099,Other,390,1323,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),4,120,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),800,1200,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8131000,Apricots,1862,2793,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8131000,Apricots,750,1125,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,1600,20000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,1600,20000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,1600,20000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8131000,Apricots,2000,10000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),6,180,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,IN,"Felixstowe, P",IN,India,GB,GB,12074090,Other,1200,15000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",760,19000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,CN,"Felixstowe, P",CN,China,GB,GB,12024200,"Shelled, whether or not broken",840,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8042090,Dried,390,4680,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8131000,Apricots,210,2520,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,JP,Heathrow,JP,Japan,GB,GB,7095990,Other,2,5.2,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,JP,Heathrow,JP,Japan,GB,GB,7099990,Other,2,5.2,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,IN,"Felixstowe, P",IN,India,GB,GB,12024200,"Shelled, whether or not broken",760,19000,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,IN,"Felixstowe, P",IN,India,GB,GB,12024200,"Shelled, whether or not broken",760,19000,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,IN,"Felixstowe, P",IN,India,GB,GB,12024200,"Shelled, whether or not broken",760,19000,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,LK,"Southampton, P",CN,China,GB,GB,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,174,1260,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,1600,20000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,24920,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25020,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062090,Other,6720,18063.36,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,2808,19656,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,2808,19656,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062090,Other,9576,9652.61,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Felixstowe, P",TR,Turkey,GB,GB,7108051,Sweet peppers,2020,20200,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25460,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Bristol, P",TR,Turkey,GB,GB,8062030,Sultanas,3260,40750,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Bristol, P",TR,Turkey,GB,GB,8062090,Other,3260,40750,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Bristol, P",TR,Turkey,GB,GB,8062030,Sultanas,3260,40750,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Bristol, P",TR,Turkey,GB,GB,8062090,Other,3260,40750,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Bristol, P",TR,Turkey,GB,GB,8062030,Sultanas,4890,61125,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Bristol, P",TR,Turkey,GB,GB,8062090,Other,4890,61125,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Bristol, P",TR,Turkey,GB,GB,8062030,Sultanas,4890,61125,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Bristol, P",TR,Turkey,GB,GB,8062090,Other,4890,61125,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Bristol, P",TR,Turkey,GB,GB,8062030,Sultanas,4890,61125,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,TR,"Bristol, P",TR,Turkey,GB,GB,8062090,Other,4890,61125,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-01,2017,Q3,Sep,1,2017-09,,IN,"Felixstowe, P",IN,India,GB,GB,9081100,Neither crushed nor ground,23,214,Human consumption,Not Satisfactory,no,2. Destruction,Not Done,Not Done,No,-,-,-,destruction,1. Absence/Invalid certificate (if applicable),,1
2017-09-01,2017,Q3,Sep,1,2017-09,,IN,"Felixstowe, P",IN,India,GB,GB,9081100,Neither crushed nor ground,23,214,Human consumption,Not Satisfactory,no,2. Destruction,Not Done,Not Done,No,-,-,-,destruction,"6. Other, create RASFF notification",,1
