DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-09-25,2018,Q3,Sept,25,2018-09,GH,London Gateway,GB,Ghana,GB,GB,15119099,Other,1360,14525,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-09-25,2018,Q3,Sept,25,2018-09,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1152,14026,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-09-11,2018,Q3,Sept,11,2018-09,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",1680,10080,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-09-11,2018,Q3,Sept,11,2018-09,JP,"Southampton, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",31,149,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-09-24,2018,Q3,Sept,24,2018-09,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",11,224,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-08-17,2018,Q3,Aug,17,2018-09,CN,"Felixstowe, P",GB,China,GB,GB,10063092,Round grain,975,19890,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-08-02,2018,Q3,Aug,2,2018-09,CN,"Felixstowe, P",GB,China,GB,GB,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,102,1479,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-08-06,2018,Q3,Aug,6,2018-09,CN,"Felixstowe, P",GB,China,GB,GB,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",68,986,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-08-06,2018,Q3,Aug,6,2018-09,CN,"Felixstowe, P",GB,China,GB,GB,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,91,1235,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,yes,Pyridab?ne,Not satisfactory,-,Destruction,Chemical contamination,1
2018-08-06,2018,Q3,Aug,6,2018-09,CN,"Felixstowe, P",GB,China,GB,GB,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,91,1235,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,yes,Tolfenpyrad,Not satisfactory,-,Destruction,Chemical contamination,1
2018-08-13,2018,Q3,Aug,13,2018-09,CN,Port of Tyne (CED),GB,China,GB,GB,9022000,Other green tea (not fermented),440,24200,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Acetamiprid (nicotinoid insecticides ),Satisfactory,Human consumption,-,-,1
2018-08-13,2018,Q3,Aug,13,2018-09,CN,Port of Tyne (CED),GB,China,GB,GB,9022000,Other green tea (not fermented),440,24200,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Anthraquinone,Satisfactory,Human consumption,-,-,1
2018-08-13,2018,Q3,Aug,13,2018-09,CN,Port of Tyne (CED),GB,China,GB,GB,9022000,Other green tea (not fermented),440,24200,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Bifenthrin,Satisfactory,Human consumption,-,-,1
2018-08-13,2018,Q3,Aug,13,2018-09,CN,Port of Tyne (CED),GB,China,GB,GB,9022000,Other green tea (not fermented),440,24200,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Carbendazim (mecarzole),Satisfactory,Human consumption,-,-,1
2018-08-13,2018,Q3,Aug,13,2018-09,CN,Port of Tyne (CED),GB,China,GB,GB,9022000,Other green tea (not fermented),440,24200,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Chlorfenapyr (halogenated pyrroles.),Satisfactory,Human consumption,-,-,1
2018-08-13,2018,Q3,Aug,13,2018-09,CN,Port of Tyne (CED),GB,China,GB,GB,9022000,Other green tea (not fermented),440,24200,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Clothianidin (thiazole insecticides),Satisfactory,Human consumption,-,-,1
2018-08-13,2018,Q3,Aug,13,2018-09,CN,Port of Tyne (CED),GB,China,GB,GB,9022000,Other green tea (not fermented),440,24200,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Cyhalothrin-Lambda,Satisfactory,Human consumption,-,-,1
2018-08-13,2018,Q3,Aug,13,2018-09,CN,Port of Tyne (CED),GB,China,GB,GB,9022000,Other green tea (not fermented),440,24200,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Deltamethrin,Satisfactory,Human consumption,-,-,1
2018-08-13,2018,Q3,Aug,13,2018-09,CN,Port of Tyne (CED),GB,China,GB,GB,9022000,Other green tea (not fermented),440,24200,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Folpet,Satisfactory,Human consumption,-,-,1
