Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Animal or vegetable fats and oils,2019-08-29,2019,Q3,8,29,2019-09-09,Ghana,2019-08-31,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,"Tilbury, P",1,11480
Other/Animal or vegetable fats and oils,2019-08-29,2019,Q3,8,29,2019-09-09,Ghana,2019-08-31,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,"Tilbury, P",1,11480
Other/Animal or vegetable fats and oils,2019-08-29,2019,Q3,8,29,2019-09-09,Ghana,2019-08-31,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,"Tilbury, P",1,11480
Other/Animal or vegetable fats and oils,2019-09-04,2019,Q3,9,4,2019-09-06,Ghana,2019-09-06,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,13096
Other/Animal or vegetable fats and oils,2019-09-05,2019,Q3,9,5,2019-09-12,Ghana,2019-09-03,For import,15111090,Other than 1511 10 10,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,1280
Other/Animal or vegetable fats and oils,2019-09-17,2019,Q3,9,17,2019-09-17,Ghana,2019-09-09,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Tilbury, P",1,60
Other/Animal or vegetable fats and oils,2019-09-23,2019,Q3,9,23,2019-09-30,Ghana,2019-09-22,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.DYES,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,7941
Other/Animal or vegetable fats and oils,2019-09-24,2019,Q3,9,24,2019-09-29,Ghana,2019-09-30,For import,15119099,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,8844
"Other/Beverages, spirits and vinegar",2019-09-18,2019,Q3,9,18,2019-09-18,Japan,2019-09-18,For import,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,198
"Other/Beverages, spirits and vinegar",2019-09-25,2019,Q3,9,25,2019-09-26,Japan,2019-09-26,For import,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,200
Other/Miscellaneous edible preparations,2019-08-21,2019,Q3,8,21,2019-09-04,Japan,2019-08-29,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,"Southampton, P",1,184
