CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
Animal or vegetable fats and oils,2020-09-04,2020,Q3,9,4,Ghana,2020-09-08,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,9865,10368,No,-,Temporary increase of controls,2020-09-18,2020,Q3,9,38
Animal or vegetable fats and oils,2020-09-04,2020,Q3,9,4,Ghana,2020-09-04,1511901990,Other,Yes,Not satisfactory,Yes,Not satisfactory,No,-,No,-,300,5544,Yes,Destruction,-,2020-09-10,2020,Q3,9,37
Animal or vegetable fats and oils,2020-09-08,2020,Q3,9,8,Ghana,2020-09-05,15111090,Other than 1511 10 10,Yes,Satisfactory,No,-,No,-,No,-,160,160,No,-,-,2020-09-08,2020,Q3,9,37
Animal or vegetable fats and oils,2020-09-08,2020,Q3,9,8,Ghana,2020-09-08,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,1441,1460,No,-,Emergency measures,2020-10-08,2020,Q4,10,41
Animal or vegetable fats and oils,2020-09-11,2020,Q3,9,11,Ghana,2020-09-09,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,15835,16931,No,-,Temporary increase of controls,2020-09-22,2020,Q3,9,39
Animal or vegetable fats and oils,2020-09-15,2020,Q3,9,15,Ghana,2020-09-13,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,17087,17872,No,-,Temporary increase of controls,2020-09-29,2020,Q3,9,40
Animal or vegetable fats and oils,2020-09-21,2020,Q3,9,21,Ghana,2020-09-18,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,8100,8700,No,-,Temporary increase of controls,2020-10-13,2020,Q4,10,42
Animal or vegetable fats and oils,2020-09-22,2020,Q3,9,22,Ghana,2020-09-05,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,16084,18284,No,-,-,2020-09-22,2020,Q3,9,39
Animal or vegetable fats and oils,2020-09-18,2020,Q3,9,18,Ghana,2020-09-22,15111090,Other than 1511 10 10,Yes,Satisfactory,No,-,No,-,No,-,2468,2620,No,-,-,2020-09-22,2020,Q3,9,39
Animal or vegetable fats and oils,2020-09-25,2020,Q3,9,25,Ghana,2020-09-26,15119099,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,6240,6520,No,-,Temporary increase of controls,2020-10-09,2020,Q4,10,41
